verdict,text,part,label,title_results,text_results,text_and_title_results,whole_case_results
ME-16-11-63255-338,"הנאשמת הורשעה על פי הודאתה, במסגרת הסדר טיעון, בעובדות כתב אישום המתוקן.",nothing,עובדות המקרה,מידע אחר,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"בין הנאשמת לבין מאהר שחאדה (להלן: ""מאהר"") ויותם בצר( להלן: ""יותם"") היכרות מוקדמת.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"במועד לא ידוע עובר ליום 17.10.16, קשרה הנאשמת עם השניים (להלן: ""הקושרים"") להחזיק בסמים בדירה שמאהר ישכור עבורה ולסחור בהם.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"במסגרת הקשר ולשם קידומו, העביר מאהר לנאשמת סכום של 4,500 ₪ במזומן, אשר נועד לכסות את תשלום שכר הדירה.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"החל מיום 17.10.16 ,במסגרת הקשר ומימושו, התגוררה הנאשמת בדירה שנשכרה, בה החזיקו הקושרים סמים מסוכנים.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"ביום 14.11.16, בשעה 14:30 או בסמוך לכך, החזיקו הקושרים, שלא כדין וללא היתר, סמים מסוכנים כדלקמן: קוקאין במשקל 52.616 גרם נטו, MDMA בצורה של 1,651 טבליות ובצורה של אבקה במשקל 30.11 גרם נטו, Lsd בצורה של 154 בולים וכן בנוזל במשקל של 1.75 מ""ל, קנבוס במשקל של 1,255.48 גרם נטו, וחשיש במשקל 689.77 גרם נטו.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"כמו כן, במסגרת הקשר ולשם קידומו, החזיקו הנאשמת והקושרים משקל אלקטרוני אשר הינו כלי המשמש להכנת הסמים המסוכנים או לצריכתם.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,מכאן ואילך מונה כתב האישום 2 עסקאות:,כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"ביום 13.11.16 מכרה הנאשמת, במסגרת הקשר, אקסטזי, קוקאין ו-MDMA לעמיר רחמים בתמורה ל 1,400 ₪.",כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,ביום 14.11.16 מכרה הנאשמת לחנן כהן גרם אחד של קנאביס בתמורה ל 100 ₪.,כתב האישום המתוקן,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
