verdict,text,part
ME-32-05-13-694,"על פי הסדר טיעון שנעשה בין הצדדים, הוגש נגד הנאשם כתב אישום מתוקן, והנאשם הודה בביצוע עבירות בנשק לפי סעיף 144(א) רישא וסיפא לחוק העונשין, תשל""ז - 1977.",רקע
ME-32-05-13-694,"בין הצדדים לא היה הסדר לגבי העונש, והטיעון לעונש היה טיעון חופשי, ולאחר שהוגש תסקיר מבחן בעניינו של הנאשם.",רקע
ME-32-05-13-694,"על פי כתב האישום, בתאריך 13.5.2013, בשעות הערב, הגיע הנאשם לביתו של אדם בשם מופיד פאוזי ג'רבאן, המכונה ""אבו ג'לוג"", כשברשותו תת מקלע מסוג ""קרל גוסטב"", ובכיס מכנסיו מחסנית תואמת. נטען, כי הנאשם החזיק בכלי הנשק במשך כשנה, מבלי שהיה לו רישיון על פי דין.",רקע
ME-32-05-13-694,"באת כוח המאשימה טענה כי יש להטיל על הנאשם עונש מאסר, וזאת משום שמדובר בתת מקלע, אותו הנאשם החזיק במשך כשנה באזור מגורים. לטענת באת כוח המאשימה, עולה מתסקיר המבחן שהנאשם מתקשה ליטול אחריות ולבחון את משמעות המעשה, ועל כן מתבקשת ענישה הרתעתית. לדעת באת כוח המאשימה מתחם העונש ההולם הוא בין שנתיים ועד חמש שנות מאסר בפועל, ולעונש שייקבע יש להוסיף מאסר על תנאי וקנס.",רקע
ME-32-05-13-694,"לעומת באת כוח המאשימה, סבור בא כוח הנאשם, כי במקרה שלפניי ניתן להסתפק בתקופת המעצר. לטענת בא כוח הנאשם, הנאשם הוא בן למשפחה עם רקע סוציו-אקונומי קשה, וחרף זאת הנאשם הצליח לסיים את בית הספר התיכון עם בגרות מלאה, וכיום הוא לומד מתמטיקה במכללה. בא כוח הנאשם ציין את העובדה, כי הנאשם הודה בעבירות מייד בפתיחת ההליכים, ואין לחובתו הרשעות פליליות קודמות. לתמיכת טענותיו הציג בא כוח הנאשם בפני מספר פסקי דין, מהם עולה כי במקרים חמורים יותר של עבירות בנשק, גזרו בתי המשפט עונשי מאסר בני חודשים ספורים.",רקע
ME-32-05-13-694,"הנאשם עצמו הביע צער וחרטה על המעשה, וביקש לנהוג עמו במידת הרחמים.",רקע
ME-32-05-13-694,"בתסקיר המבחן תוארו נסיבותיו האישיות והמשפחתיות של הנאשם. בהתייחס לעבירה נושא כתב האישום שלפניי, מסר הנאשם לקצין המבחן, כי קיבל את הנשק מ""אבו ג'לוג"" דקות ספורות לפני שנעצר על ידי המשטרה, אם כי עובדה זו אינה מתיישבת עם הודאתו של הנאשם, כי החזיק בנשק במשך כשנה לפני שנתפס. לדעת קצין המבחן, הנאשם מתקשה לבחון באופן משמעותי את מעשיו, ונראה כי הוא מתקשה להציב לעצמו גבולות ולהתמודד באופן יעיל עם מצבי סיכון ופיתוי.",רקע
ME-32-05-13-694,"לדעת קצין המבחן, נוכח העדר קבלת אחריות מלאה, יש מקום לשקול ""ענישה הרתעתית בעלת גבולות חיצוניים כמאסר בפועל"", אשר תציב בפני הנאשם גבולות ברורים, ועשויה להפחית מהסיכון להישנות עבירות דומות בעתיד.",רקע
ME-32-05-13-694,"(א)	העיקרון המנחה בקביעת ""מתחם העונש ההולם"" הוא ""עיקרון ההלימה"". על פי עיקרון זה יש לקיים יחס הולם בין חומרת המעשה בנסיבותיו ומידת אשמו של הנאשם מחד גיסא ובין סוג ומידת העונש המוטל עליו מאידך גיסא. בקביעת מתחם העונש ההולם, על בית המשפט להתחשב במידת הפגיעה בערך החברתי שנפגע כתוצאה מביצוע העבירה, במידת הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה על ידי הנאשם.","7	קביעת מתחם העונש ההולם (סעיפים 40ג, 40ט' - 40י""א לחוק העונשין):"
ME-32-05-13-694,"(ב)	בסעיף 40ט' לחוק העונשין, פורטו שיקולים שונים, שאינם מהווים רשימה סגורה,  שעל בית המשפט להתחשב בהם, ככל שבית המשפט סבור שהן משפיעות על חומרת המעשה ועל אשמו של הנאשם. בהתייחס לעניין שלפני, יש להביא בחשבון את הערך החברתי המוגן שנפגע ואת הנזק שעלול היה להיגרם מביצוע העבירות. לגבי עבירות בנשק, נקבע, כי בקביעת מתחם העונש ההולם, יש להתחשב אף בסוג הנשק בו נעברה העבירה (ע""פ 1323/13 חסן נ' מדינת ישראל (פורסם בנבו - 5.6.2013).","7	קביעת מתחם העונש ההולם (סעיפים 40ג, 40ט' - 40י""א לחוק העונשין):"
ME-32-05-13-694,"(ג)	אין ספק, כי העונשים הקבועים בחוק לצד עבירות בנשק הם עונשים חמורים, והם מבטאים את דרגת החומרה הגבוהה שהמחוקק ייחס לעבירות שכאלה, שבצידן סיכון גדול לפגיעה, רצונית או שלא רצונית, בגופו של אדם.","7	קביעת מתחם העונש ההולם (סעיפים 40ג, 40ט' - 40י""א לחוק העונשין):"
ME-32-05-13-694,"(ד)	כל אחד מבאי כוח הצדדים הניח לפניי פסיקה התומכת בטענותיו, ומתחם העונש המתקבל מהפסיקה שהוגשה נעה בין מספר חודשים ועד מספר שנים. על כן, לאחר ששקלתי נסיבות העניין, ובשים לב לעקרון ההלימה, לסוג הנשק בו החזיק הנאשם לתקופה בה החזיק בו, ולצורך להרתיע את הנאשם מלעבור עבירות בעתיד כמו גם הצורך להרתיע את הרבים המסתובבים עם כלי נשק בישוב ג'סר א-זרקא, הנני סבור, כי מתחם העונש ההולם במקרה שלפניי הוא בין שנת מאסר אחת ועד שלוש שנות מאסר בפועל.","7	קביעת מתחם העונש ההולם (סעיפים 40ג, 40ט' - 40י""א לחוק העונשין):"
ME-32-05-13-694,"(א)	בית המשפט רשאי לחרוג לקולא ממתחם העונש ההולם שנקבע, מקום בו קיים סיכוי לשיקומו של הנאשם. עם זאת, מקום בו מעשה העבירה ומידת אשמו של הנאשם הם בעלי חומרה יתרה, אין לחרוג לקולא ממתחם העונש ההולם, אפילו השתקם הנאשם או שיש סיכוי של ממש שישתקם.",8.	חריגה ממתחם העונש ההולם (סעיפים 40ה עד 40ז וסעיף 40יד(3) לחוק העונשין:
ME-32-05-13-694,"(ב)	קצין המבחן אינו מצביע בתסקיר על אמצעי שיקום שניתן לנקוט בהם או על הליכים טיפוליים אחרים. נהפוך הוא, קצין המבחן סבור, שעל מנת למנוע הישנות העבירה בעתיד, יש להטיל על הנאשם ""ענישה הרתעתית"".",8.	חריגה ממתחם העונש ההולם (סעיפים 40ה עד 40ז וסעיף 40יד(3) לחוק העונשין:
ME-32-05-13-694,"(ג)	על כן, אין מקום במקרה שלפניי לסטות לקולה ממתחם העונש ההולם בשל אמצעי שיקום.",8.	חריגה ממתחם העונש ההולם (סעיפים 40ה עד 40ז וסעיף 40יד(3) לחוק העונשין:
ME-32-05-13-694,"(א)	הנאשם יליד שנת 1993, רווק, בוגר 12 שנות לימוד עם תעודת בגרות מלאה הלומד עתה מתמטיקה במכללה בעיר אום אל-פאחם, וללא הרשעות פליליות קודמות. נראה הדבר, שמדובר באדם המנהל אורח חיים נורמטיבי, המנסה לבנות את עתידו חרף הקשיים הסוציו-אקונומיים במשפחת המוצא שלו. אודה, כי תסקיר המבחן קלקל במידת מה את התרשמותי מהנאשם.","10.	קביעת העונש, ונסיבות שאינן קשורות בביצוע העבירה (סעיפים 40ג(ב), 40יא ו- 40יד(2) לחוק העונשין:"
ME-32-05-13-694,"(ב)	חרף הנסיבות המקלות, יש לזכור שהנאשם החזיק בתת מקלע. הנאשם, בחור נבון ומשכיל, ידע והבין ככל הנראה שהוא עושה מעשה אסור, ועד עתה לא עלה בידיי להבין, מדוע אדם החי חיים נורמטיביים, ולומד במכללה כדי לבנות את עתידו, יחזיק בכלי נשק שפגיעתו יכולה להיות קשה וקטלנית.","10.	קביעת העונש, ונסיבות שאינן קשורות בביצוע העבירה (סעיפים 40ג(ב), 40יא ו- 40יד(2) לחוק העונשין:"
ME-32-05-13-694,"(ג)	קצין המבחן אמנם המליץ על ענישה הרתעתית, אך יש להיזהר שהענישה לא תהיה הרתעתית מידי, כדי שלא לפגוע יתר על המידה בניסיונו של הנאשם לבנות את עתידו.","10.	קביעת העונש, ונסיבות שאינן קשורות בביצוע העבירה (סעיפים 40ג(ב), 40יא ו- 40יד(2) לחוק העונשין:"
ME-32-05-13-694,"(ד)	על כן, הנני מחליט להשית על הנאשם עונש ברף הנמוך של מתחם העונש ההולם, דהיינו שנת מאסר בפועל, ולצדה מאסר על תנאי.","10.	קביעת העונש, ונסיבות שאינן קשורות בביצוע העבירה (סעיפים 40ג(ב), 40יא ו- 40יד(2) לחוק העונשין:"
ME-32-05-13-694,"(א)	הנני דן את הנאשם ל- שנתיים מאסר, מתוכן שנה אחת לריצוי בפועל ושנה אחת לריצוי על תנאי, והתנאי הוא, שבמשך שלוש שנים לא יעבור הנאשם עבירה לפי סעיף 144 לחוק העונשין, תשל""ז - 1977.","12.	אשר על כל האמור לעיל, הנני מחליט כדלקמן:"
ME-32-05-13-694,"(ב)	מעונש המאסר שעל הנאשם לרצות בפועל לפי האמור בסעיף קטן (א) שלעיל, תנוכה התקופה שמיום 13.5.2013 ועד היום (ובסה""כ 141 ימים).","12.	אשר על כל האמור לעיל, הנני מחליט כדלקמן:"
