verdict,text,part
SH-22-06-66150-870,"חוק העונשין, תשל""ז-1977: סע'  144, 144(א)",nothing
SH-22-06-66150-870,"הנאשם הורשע על פי הודאתו, ובמסגרת הסדר טעון, בעבירות של החזקת נשק, לפי סעיף 144(א) רישא לחוק העונשין, תשל""ז 1977 (להלן: ""חוק העונשין"") שתי עבירות, והחזקת אביזרי נשק ותחמושת, לפי סעיף 144(א) לחוק העונשין (מספר רב של עבירות).",כתב האישום:
SH-22-06-66150-870,"על פי הנטען בכתב האישום המתוקן, בזמנים הרלבנטיים לכתב האישום, גר הנאשם בקומה השלישית בבניין במחנה הפליטים שועאפט בירושלים (להלן:  ""בית הנאשם""), כמו כן לנאשם הייתה גישה לקומה העליונה בבניין, קומה אשר לא שימשה למגורים סדירים (להלן: ""הקומה העליונה"").",כתב האישום:
SH-22-06-66150-870,"צוין בכתב האישום, כי ממועד שאינו ידוע למאשימה, אך לפחות כחצי שנה קודם למועד הגשת כתב האישום, רכש הנאשם מאדם שזהותו אינה ידועה למאשימה, אקדח חצי אוטומטי מסוג GLOCK מספר סידורי CPN097 היורה ובכוחו להמית אדם (להלן: ""האקדח"") תמורת סכום של 50,00 ₪.",כתב האישום:
SH-22-06-66150-870,"ממועד שאינו ידוע למאשימה, החזיק הנאשם בתוך ארון חדר השינה שבביתו (להלן: ""ארון החדר"")' T, VPRHYHO VCTHO",כתב האישום:
SH-22-06-66150-870,"קופסא ובתוכה האקדח עליו מותקן פנס וכוונת לייזר המותאמת לאקדח' יחד עם 5 מחסניות התואמות לאקדח, ובתוכן 40 כדורי 9 מ""מ המותאמים לשימוש באקדח.",כתב האישום:
SH-22-06-66150-870,"שקית לבנה ובה 2 קופסאות, כאשר כל קופסה הכילה 50 כדורי 9 מ""מ המתאימה לשימוש באקדח.",כתב האישום:
SH-22-06-66150-870,קופסא נוספת ובה חלקי נשק מסוגי שונים בין השאר: חלק מצינת אקדח וסתרשף של הנשק.,כתב האישום:
SH-22-06-66150-870,"בנוסף, מעל הארון בחדר, החזיק הנאשם רובה סער דמוי M-16 המכיל מכלול של רובה M-16 וקנה בקליבר 4.45 X  5.56 מ""מ, היורה ובכוחו להמית אדם, ולידו מחסנית התואמת לנשק מסוג M16 ובתוכה 14 כדורי 5.56 מ""מ.",כתב האישום:
SH-22-06-66150-870,כמו כן החזיק הנאשם בתוך ארון בקומה העליונה תיק אדום ובתוכו:,כתב האישום:
SH-22-06-66150-870,"8 מחסניות התואמות M16 ובתוכם מספר רב של כדורי 5.5.6 מ""מ, וכן 8 כדורי 9 מ""מ, ו-3 תרמילי כדורי 9 מ""מ בתפזורת",כתב האישום:
SH-22-06-66150-870,"""ברוס"" כדורים ובו 36 קופסאות המכילות כל אחת 30 כדורי 5.56 מ""מ התואמים לנשק מסוג M16",כתב האישום:
SH-22-06-66150-870,"בסמוך לתיק האדום החזיק הנאשם תיק ירוק ובו מזוודה עם כלי ניקוי לנשק מסוג M16 ו-147 כדורי 9 מ""מ התואמים לאקדח",כתב האישום:
SH-22-06-66150-870,"סך הכול החזיק הנאשם ברשותו 1094 כדורי 5.56 מ""מ התואמים לנשק M16 ו-147 כדורי 9 מ""מ התואמים לאקדח.",כתב האישום:
SH-22-06-66150-870,"צוין, כי הנאשם לא היה בעל רישיון להחזיק בנשק, ומעולם לא החזיק ברישיון לנשק.",כתב האישום:
SH-22-06-66150-870,"סוכם בין הצדדים, כי בטרם תישמע פרשת העונש, הנאשם יופנה לקבלת תסקיר מבחן, כאשר המאשימה תעתור לקביעת מתחם עונש הולם שבין 42 חודשים ועד 60 חודשים, והסנגור יהיה חופשי בטיעוניו.",כתב האישום:
SH-22-06-66150-870,"המאשימה הפנתה בטיעוניה לעונש לנסיבות האירוע כמתואר בכתב האישום המתוקן, הערכים המוגנים בהם פגע הנאשם במעשיו, והצורך בהחמרת הענישה בעבירות מסוג זה, בהתאם לפסיקת בית המשפט העליון.",תמצית טיעוני הצדדים:
SH-22-06-66150-870,"לדעת המאשימה, בהתאם לפסיקה תומכת אותה הגישה, מתחם העונש ההולם את המקרה הינו החל מ-42 חודשים ועד 60 חודשי מאסר. הוסף, כי תסקיר שרות המבחן הינו חיובי- הנאשם נעדר רישום פלילי, עבר תהליך טיפולי משמעותי, אך מאידך קיים קושי מצד הנאשם לבחון את התנהגותו, קושי בהפעלת שיקול דעת, והתעלמות מהסיכונים הכרוכים בעבירות אותן ביצע.",תמצית טיעוני הצדדים:
SH-22-06-66150-870,"בנסיבות אלו עתרה המאשימה לקבוע את עונשו של הנאשם בתחתית המתחם, כך שיוטל עליו מאסר למשך 42 חודשים, בניכוי תקופת המעצר (בין התאריכים 15.6.2022-27.10.2022) לצד ענישה נלווית מרתיעה.",תמצית טיעוני הצדדים:
SH-22-06-66150-870,"ב""כ הנאשם ביקש לחרוג מהמתחם בשל נסיבותיו האישיות של הנאשם ובשל שיקולי שיקום. צוין, כי הנאשם צמח במשפחה שומרת חוק, שבבעלותה חברה קבלנית המעסיקה למעלה מ-1500 עובדים. הסנגור לא חלק על כך שהמדובר במצבור של אמל""ח, נתון העומד בסתירה לרקע המשפחתי החיובי ממנו הנאשם מגיע. על פיו, כלי הנשק והתחמושת כולה הוחזקו עבור אדם אחר, במקום מסתור בחדרו של הנאשם, מבלי נגישות לאף אדם או חלילה שימוש בכלים אלו במרחב הציבורי. עוד הדגיש הסנגור, כי הנאשם שיתף פעולה באופן מלא בהליכי החקירה, וכלי הנשק והתחמושת שנתפסו מצויים בחזקת המשטרה.",תמצית טיעוני הצדדים:
