verdict,text,part
ME-12-05-14266-581,"חוק העונשין, תשל""ז-1977: סע'  29, 144(א), (ב), 238, 243, 499",nothing
ME-12-05-14266-581,"בהמשך להודיית הנאשם בעובדות כתב האישום המתוקן במסגרת הסדר טיעון, הרשעתי אותו בעבירות הבאות:",א.	תמצית הכרעת הדין
ME-12-05-14266-581,"קשר לפשע – עבירה לפי סעיף 499 + 29 לחוק העונשין, התשל""ז- 1977 (להלן:""החוק"");",א.	תמצית הכרעת הדין
ME-12-05-14266-581,בידוי ראיות – עבירה לפי סעיף 238 + 29 לחוק;,א.	תמצית הכרעת הדין
ME-12-05-14266-581,ידיעה כוזבת – עבירה לפי סעיף 243 + 29 לחוק;,א.	תמצית הכרעת הדין
ME-12-05-14266-581,עבירות בנשק – עבירה לפי סעיפים 144(א) רישא וסיפא + (ב) רישא וסיפא לחוק.,א.	תמצית הכרעת הדין
ME-12-05-14266-581,"הנאשם הינו חברו של מוניר חנג'ר (להלן:""חנג'ר"") אשר במועדים הרלוונטיים לכתב האישום עבד כשומר ובמסגרת תפקידו הוא קיבל הרשאה לשאת כלי ירייה מסוג אקדח שבכוחו להמית אדם,  ושתי מחסניות הכוללות 24 כדורים וזאת לצורך מילוי תפקידו בלבד.",ב.	עובדות כתב האישום המתוקן
ME-12-05-14266-581,"ביום 30/4/12, קשרו חנג'ר והנאשם קשר לפיו הנאשם יקבל את הנשק מחנג'ר. בהמשך, ח'נג'ר ימסור למשטרה ידיעה שקרית לפיה הותקף ונשדד על ידי אלמונים ולאחר מכן חנג'ר ימכור את הנשק. בהתאם לקשר ועל מנת לקדמו, יצר חנג'ר קשר עם הנאשם, השניים סיכמו להיפגש בכביש עכו בסמוך לתחנת דלק סונול. השניים הגיעו למקום המפגש, חנג'ר ניקב את הגלגל של רכבו שלו, ביקש מהנאשם לשרוט אותו בפניו באמצעות מסמר ולקשור את ידיו לאחור. הנאשם עשה כבקשתו של חנג'ר.",ב.	עובדות כתב האישום המתוקן
ME-12-05-14266-581,"באותו מעמד, קיבל הנאשם את האקדח, המחסניות והכדורים לידיו, וסיכם עם חנג'ר כי יחזיק בנשק עד שהחקירה המשטרתית, בגין הידיעה השקרית, תסתיים.",ב.	עובדות כתב האישום המתוקן
ME-12-05-14266-581,"הנאשם נשא והוביל את האקדח, המחסניות והכדורים לטמרה, שם הסתיר את האקדח בין העשבים.",ב.	עובדות כתב האישום המתוקן
ME-12-05-14266-581,"בהמשך, ולאחר עזיבתו של הנאשם, התקשר חנג'ר למשטרה והודיע בכזב כי הוא הותקף ונשדד על ידי אלמונים, ואף אקדחו נגנב.",ב.	עובדות כתב האישום המתוקן
