verdict,text,part
ME-23-08-12543-983,"חוק העונשין, תשל""ז-1977: סע'  275, 380+, 382(א), 384א(ג)",nothing
ME-23-08-12543-983,"נאשם 1 (להלן: ""הנאשם"") הורשע על-פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן (להלן: ""כתב האישום"") המייחס לו עבירות של תקיפה הגורמת חבלה של ממש בנסיבות מחמירות (בצוותא חדא), הפרעה לשוטר במילוי תפקידו וגניבה של נשק, עבירות לפי סעיפים 380+ 382(א), 275 ו- 384א(ג) לחוק העונשין, התשל""ז – 1977 (להלן: ""חוק העונשין"").",	מבוא
ME-23-08-12543-983,במסגרת ההסדר הצדדים לא הגיעו להסכמה עונשית וכל צד יטען לעונש באופן חופשי.,	מבוא
ME-23-08-12543-983,"זאת, להבדיל מההסדר שגובש בעניינו של נאשם 2 במסגרתו עתרו הצדדים במשותף להטיל עליו עונש של 11 חודשי מאסר לצד עונשים נלווים, הסדר אותו מצאתי לכבד כאמור בגזר הדין בעניינו של נאשם 2 מיום 6.3.2024. הגם שכך, יש לציין כי נאשם 2 לא הורשע בעבירה של גניבת נשק שבה הורשע הנאשם.",	מבוא
ME-23-08-12543-983,"מעובדות כתב האישום עולה כי בין הנאשמים קיימת היכרות מוקדמת. ביום 30.7.2023 סמוך לשעה 18:00 שהו הנאשמים בחוף באשקלון (להלן: ""החוף""). באותה העת ישב א' ח' (להלן: ""המתלונן"" או ""נפגע העבירה"") יחד עם אשתו (להלן: ""האישה""), על המדשאה שבחוף, כשהוא נושא כחוק על גופו, באמצעות שרוך אבטחה, נשק –אקדח מסוג גלוק שבתוכו הייתה מחסנית תואמת ובה כדורים בקליבר 9 מ""מ.",	כתב אישום
ME-23-08-12543-983,"נאשם 2 ניגש למתלונן וביקש סיגריה. המתלונן בתגובה אמר לנאשם 2 שהוא אינו מעשן. נאשם 2 חזר על בקשתו בשנית והמתלונן חזר על תשובתו. לאחר מכן פנה שוב נאשם 2 וביקש סיגריה, הפעם מהאישה, אך המתלונן אמר לו כי גם היא אינה מעשנת.",	כתב אישום
ME-23-08-12543-983,"בהמשך למתואר, התיישבו הנאשמים על ספסל סמוך למתלונן ולאישה, פנו אליהם ובקשו מהם שיפסיקו לדבר עליהם, או בדומה לכך. המתלונן והאישה אמרו לנאשמים שהם לא מדברים עליהם והאישה אמרה למתלונן שיפסיק לדבר איתם. הנאשמים בתגובה, נעמדו מול המתלונן וזה נעמד אף הוא ואמר להם פעם נוספת שהוא לא מדבר עליהם.",	כתב אישום
ME-23-08-12543-983,"הנאשמים החלו לתקוף את המתלונן בכך שנאשם 2 סטר לפניו של המתלונן, תפס בגופו והפיל אותו על הרצפה. בעודו שכוב על הרצפה, כשפניו כלפי הקרקע, בעט הנאשם מספר בעיטות לגבו ולישבנו של המתלונן.",	כתב אישום
ME-23-08-12543-983,"כשהבחין הנאשם שהמתלונן נושא עליו נשק גמלה בליבו ההחלטה לגנוב את נשקו של המתלונן. הנאשם קרע את שרוך האבטחה אליו היה מחובר הנשק ונמלט כמספר מטרים מהמקום יחד עם הנשק כשנאשם 2 נמלט יחד איתו. האישה שהייתה עדה לאירוע האלימות צעקה לעזרה ומשהבחינה שהנאשמים נמלטים יחד עם הנשק של המתלונן, החלה לצעוק לעבר העוברים והשבים שהנאשמים חטפו את הנשק מהמתלונן.",	כתב אישום
ME-23-08-12543-983,"ד' ג' ששמע את צעקות האישה, הבחין בנאשמים בורחים והחל לרוץ אחר הנאשם. לאחר מספר מטרים הצליח ד' ג' לתפוס את הנאשם, ומיד כשהגיע אליו תפס אותו ושאל ""איפה האקדח?"".",	כתב אישום
ME-23-08-12543-983,הנאשם  בתגובה אמר אין שום אקדח והסיט את פניו לעבר החול. ד' ג' הסתכל לאותו מקום אליו הסיט הנאשם את פניו והבחין בנשק שגנב הנאשם.,	כתב אישום
