verdict,text,part
ME-20-11-39675-821,"חוק העונשין, תשל""ז-1977: סע'  63, 144(א), 144(ב), 144(ב2)",nothing
ME-20-11-39675-821,"פקודת מס הכנסה [נוסח חדש] - לא מרובד: סע'  216 (5), 220(5)",nothing
ME-20-11-39675-821,"לאחר שמיעת 8 עדי תביעה, הגיעו הצדדים להסדר טיעון במסגרתו הוגש נגד הנאשם כתב אישום מתוקן בשלישית והנאשם הודה בעובדותיו.",רקע
ME-20-11-39675-821,"כתב האישום כולל שלושה אישומים, שעיקריהם הם כדלהלן:",רקע
ME-20-11-39675-821,"בחלק הכללי של כתב האישום מצוין שהנאשם קשר עם אחרים- מהדי אלסופי (להלן: ""מהדי""), שריף טראבין (להלן: ""שריף"") ורג'א אבו רגאל (להלן: ""רג'א"") לבצע עבירות בנשק.",רקע
ME-20-11-39675-821,"עובר לחודש מאי 2020 הנאשם קשר קשר עם אחרים לייבא אקדחים מירדן לישראל. אותם אחרים עמדו בראש הקשר, והתקשרו עם אחר בירדן (להלן: ""הירדני"") לשם ייבוא האקדחים. לאחר האמור, הנאשם הציע למהדי 30,000 ₪ תמורת הבאת האקדחים מגבול ישראל- ירדן. מהדי הסכים להצעה ואחר כך הציע לשריף להצטרף אליו תמורת חצי מהסכום, ושריף הסכים. במסגרת האמור, הנאשם לקח את מהדי ברכבו לגבול ישראל ירדן על מנת להראות לו מהיכן יועברו האקדחים (להלן: ""נקודת ההברחה""). ולצורך ביצוע ההברחה הנאשם העמיד לרשות מהדי ושריף שני רכבים המצויים בבעלותו. בתאריך 13.10.20 הנאשם השאיר לשריף ומהדי את אחד הרכבים ובו טלפון נייד עם סים ירדני, ושריף ומהדי נסעו באותו רכב לנקודת ההברחה, יצרו קשר עם הירדני, והוא העביר להם בזריקה מהצד הירדני  60 אקדחים. שריף ומהדי העמיסו את האקדחים על הרכב ונסעו מהמקום. ובשלב מסוים הם נעצרו על ידי המשטרה כשברכבם  60 האקדחים.",אישום ראשון
ME-20-11-39675-821,"בסוף חודש מאי 2020, הנאשם הגיע לביתו של רג'א, מסר לו 3 אקדחים ומחסניות ריקות וביקש ממנו לשמור עליהם, ואמר לו שהוא יכול למכור את הנשק. רג'א מכר את אחד האקדחים תמורת סך של 35,000 ₪. ולמחרת הנאשם הגיע לביתו של רג'א, לקח ממנו את הנשק שנותר אצלו וכן 31,000 ₪ תמורת האקדח שנמכר. ימים אחדים לאחר ה- 26.05.20 הנאשם הגיע לביתו של רג'א ומסר לו ארבעה אקדחים ורג'א החזיק בהם שלא כדין. ולמחרת, הנאשם בא לביתו של רג'א ולקח את האקדחים. וכחודשיים לפני יום 01.11.20 הנאשם מסר לרג'א שני אקדחים ורג'א החזיק בהם עד ליום מעצרו- 22.10.20 אז מסרם למשטרה.",אישום שני
ME-20-11-39675-821,"במועדים המתוארים באישום הראשון, סמוך לחודש 05/20 ועד לפני 31/10/20, הנאשם מכר, יחד עם אחרים, אקדחים בכמות שאינה ידועה, אותם ייבא כמתואר, במחיר של כ-30,000 ₪ לאקדח. ובנוסף, במועד המתואר באישום השני הנאשם מכר לרג'א אקדח תמורת 31,000 ₪. וסך הכל הנאשם הפיק, יחד עם אחרים, הכנסות בסך כולל של 700,000 ₪. והוא הסתיר מרשויות המס את עיסוקו, לא דיווח על הכנסותיו ולא ניהל ספרי חשבונות.",	אישום שלישי	
ME-20-11-39675-821,"על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירה של ייבוא נשק, לפי סעיף 144(ב2) בחוק העונשין התשל""ז-1977 (להלן: ""חוק העונשין""); עסקה אחרת בנשק, לפי סעיף 144(ב2) בחוק העונשין; הובלת נשק, לפי סעיף 144(ב) רישא בחוק העונשין; החזקת נשק, לפי סעיף 144(א) רישא בחוק העונשין; עורמה, מרמה ותחבולה, לפי סעיף 220(5) בפקודת מס הכנסה [נוסח חדש] התשכ""א-1961; ואי ניהול ספרי חשבונות, לפי סעיף 216 (5) בפקודת מס הכנסה [נוסח חדש] התשכ""א-1961.",	אישום שלישי	
ME-20-11-39675-821,"הודאת הנאשם באה במסגרת הסדר טיעון בו הסכימו הצדדים להמליץ לבית המשפט להטיל על הנאשם 11 שנים ותשעה חודשים מאסר בפועל, מיום מעצרו, מאסר על תנאי וחילוט רכב איסוזו מ.ר. 6621734 ששימש בעבירה נשוא האישום הראשון. והוסכם שהתביעה תעתור לקנס כספי וההגנה תטען לרכיב זה כהבנתה.",	אישום שלישי	
ME-20-11-39675-821,"ב""כ התביעה ציין כי העונש המוצע בהסדר הטיעון חורג משמעותית לקולא מהעונש הראוי, ושהנימוק העיקרי להסדר נעוץ במורכבות חסיונית. הסביר, כי מדובר בתיק שהוא חלק מפרשיית נשק, במסגרתה הוגשה לבית המשפט העליון עתירה לגילוי ראיה, בה נידון החומר המודיעיני הרב שבתיק, והגם שהעתירה נדחתה, בית המשפט העליון קבע שלמידע המודיעיני יש השלכה לעניין העונש, והדבר הוסכם על ידי התביעה גם ביחס למעורבים האחרים וגם ביחס לנאשם. עוד ציין, כי עניינם של האחרים, מהדי, שריף ורג'א, נדון בפני מותב אחר, ובית המשפט קיבל את המלצת הצדדים לעונש, והטיל על מהדי ושריף 8 שנות מאסר ועל רג'א, 4.5 שנות מאסר. טען כי עניינו של הנאשם כאן חמור יותר, שכן הוא זה ששילח את מהדי ושריף להביא את האקדחים, והוא זה שמסר את האקדחים לרג'א, והעונש המוצע שומר על יחס מתאים בין הנאשמים השונים וחלקם במעשים. עוד טען, שעל אף שנשמעו מרבית עדי התביעה, הרי שהודאת הנאשם חוסכת זמן שיפוטי ויש לה משמעות. ב""כ התביעה הפנה לרווח הכספי שהופק מהעבירות. ציין כי שווי רכב האיסוזו שהוסכם על חילוטו עומד על 154,000 ₪, וציין כי אין עמדה סופית של המדינה אם לפתוח בהליכים אזרחיים נגד הנאשם בשל עבירות המס שביצע. וטען שלא צריכה להיות לכך השפעה לעניין העונש. עוד צוין, כי על מהדי ושריף הוטל קנס כספי בסך 25,000 ₪, ועל רג'א הוטל קנס כספי בסך 15,000 ₪, והקנס שיש להשית על הנאשם צריך להיות גבוה משמעותית. ועתר לאמץ את הסדר הטיעון בענין רכיב המאסר ולהטיל על הנאשם מאסר על תנאי וקנס בסדר גודל של מאות אלפי שקלים.",	אישום שלישי	
ME-20-11-39675-821,"ב""כ הנאשם עתרה לאמץ את הסדר הטיעון. טענה כי הנאשם הודה בכתב אישום שתוקן בפעם השלישית, ומעובדות כתב האישום המתוקן עולה במפורש שהנאשם אמנם היה זה ששלח את האחרים לביצוע ההברחה והעמיד לרשותם את הרכב- שהוסכם על חילוטו, אך לא הנאשם הוא שעמד בראש הפירמידה. ציינה כי בהחלטת בית המשפט העליון עלה שישנם גורמים מעורבים נוספים שעמדו בקשר עם הצד הירדני, והם אלה שנמצאים בראש ההברחה, הפיקו רווח, ולא הועמדו לדין, ושיש לכך משמעות לענין העונש. וציינה כי לנתון זה משמעות הן בהקשר של אכיפה שוויונית והן בהקשר הכלכלי, שכן הרווח שצוין בכתב האישום התחלק בין מעורבים נוספים. הוסיפה, שהנאשם בן 30, נשוי ואב לארבעה ילדים קטינים. לפני מעצרו עבד בעבודות מזדמנות. חלק מבני משפחתו משרתים בצבא. הוא הודה והביע חרטה. והודאתו הביאה לחיסכון בזמן שיפוטי. וביקשה, בהתחשב בתקופת המאסר שתוטל על הנאשם, ובכך שהמדינה טרם החליטה אם לנקוט לגביו הליכים נוספים, שלא להטיל עליו קנס כספי.",	אישום שלישי	
ME-20-11-39675-821,"כתב האישום מגולל פרשה חמורה ביותר של התארגנות עבריינית לייבוא כלי נשק מירדן לישראל, במסגרתה הוכנסו לישראל שלא כדין עשרות רבות של אקדחים.",	אישום שלישי	
ME-20-11-39675-821,"הפרשה מאופיינת במרכיבי חומרה בולטים, שהצטברותם משווה לאירוע חומרה יוצאת דופן – החבירה יחד של קבוצת תושבי ישראל במטרה להכניס לישראל עשרות רבות של כלי נשק, מעשה בעל השלכות ביטחוניות מובהקות, המכתים את המעורבים בו בהפרת אמונים של אזרח כלפי מדינתו; הוצאת היוזמה העבריינית אל הפועל היתה כרוכה בשיתוף פעולה עם גורמים ירדנים מעבר לגבול, וחייבה תכנון והיערכות מוקדמים; סכומי הכסף המעורבים בעסקה, הן מצד ההשקעה ברכישת כלי הנשק והן מצד הרווח הצפוי ממכירת כלי הנשק – משמעותיים מאוד; ומספר לא מבוטל של כלי נשק שיובאו נמכרו לאחרים ולא נתפסו.",	אישום שלישי	
ME-20-11-39675-821,"והתמונה בכללותה מלמדת על פעילות עבריינית מקצועית, מאורגנת ושיטתית, בהיקף משמעותי מאוד, שבוצעה לאורך זמן.",	אישום שלישי	
ME-20-11-39675-821,"המציאות בה כמות רבה מאוד של כלי נשק נמצאת בידי אזרחים שאינם מורשים להחזיק נשק, מעמידה בסכנה את הסדר הציבורי ואת בטחון הציבור, ויש לה השלכות מרחיקות לכת על החברה ודמותה. אירועים של ירי, הגובים מחיר בפגיעות גוף ונפש, הפכו לחזון נפרץ, כמעט מעשה של יום ביומו, במיוחד בחברה הערבית. ואין להסתיר גם את הדאגה מפני עשיית שימוש בנשק בהקשרים לאומניים, המדירה שינה.",	אישום שלישי	
ME-20-11-39675-821,העונש הקבוע לעבירת ייבוא נשק הוא 15 שנות מאסר. העונש הקבוע לעבירת נשיאת נשק הוא 10 שנות מאסר. והעונש הקבוע לעבירת החזקת נשק הוא 7 שנות מאסר.,	אישום שלישי	
