part_number,verdict,text,part,predicted_category
1,SH-21-09-42879-201,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א",nothing,מידע אחר
2,SH-21-09-42879-201,"הנאשם הורשע על פי הודאתו במסגרת הסדר טיעון בכתב אישום מתוקן, האוחז בשני אישומים, בביצוע שתי עבירות של סחר בסמים לפי סעיף 13 בצירוף סעיף 19א לפקודת הסמים המסוכנים (נוסח חדש) תשל""ג- 1973 (להלן: ""הפקודה"").",כתב האישום והסדר הטיעון,עובדות המקרה
3,SH-21-09-42879-201,"בתמצית יצוין, כי ההסדר בין הצדדים כלל הסכמות רק לעניין תיקון כתב האישום, כך שמכתב האישום המקורי נמחק האישום הראשון והנאשם הודה באישום השני והשלישי (למען הסדר הטוב אישומים אלה – יכונו האישום הראשון ושני). כמו כן, במסגרת ההסדר הופנה הנאשם לקבל תסקיר לעניין העונש. יודגש כי ההסדר בין הצדדים לא כלל הסכמה לעניין העונש.",כתב האישום והסדר הטיעון,עובדות המקרה
4,SH-21-09-42879-201,"מעובדות כתב האישום המתוקן בו הורשע הנאשם, עולה כי במועדים הרלוונטיים לכתב האישום, הופעל השוטר ג'רמי דיין כסוכן משטרתי (להלן: ""הסוכן""), לשם מיגור תופעת הסחר בסמים מסוכנים והפצתם.",כתב האישום והסדר הטיעון,עובדות המקרה
5,SH-21-09-42879-201,"מעובדות האישום הראשון בו הורשע הנאשם, עולה כי ביום 31.8.21 בשעה 17:36 לערך, ביקש הסוכן לרכוש חמישה כדורי סם מסוכן מסוג MDMA באמצעות היישומון ""טלגראם"". בקשתו של הסוכן הועברה לנאשם באמצעות היישומון יחד עם הכתובת המבוקשת למשלוח הסם בכיכר הדווידקה בירושלים. בהמשך למתואר, התקשר הנאשם לסוכן על מנת לתאם את ביצוע העסקה ולעדכנו כי הוא בדרכו למקום. בסמוך לשעה 17:51 נפגשו הנאשם והסוכן במקום. בשלב זה, העביר הנאשם לסוכן 5 כדורי סם מסוג MDMA, ובתמורה קיבל הנאשם מהסוכן 400 ₪ במזומן ועזב את המקום.",כתב האישום והסדר הטיעון,עובדות המקרה
6,SH-21-09-42879-201,"מעובדות האישום השני בו הורשע הנאשם, עולה כי ביום 2.9.21 בשעה 14:40 לערך, ביקש הסוכן לרכוש חמישה כדורי סם מסוכן מסוג MDMA באמצעות היישומון ""טלגראם"". בקשתו של הסוכן הועברה לנאשם באמצעות היישומון יחד עם הכתובת המבוקשת למשלוח הסם, ברחוב שמאי בירושלים. בהמשך למתואר לעיל, התקשר הנאשם לסוכן מספר פעמים על מנת לתאם את מקום ביצוע העסקה ואת שעתה ולעדכנו כי הוא בדרכו למקום. עוד עולה, כי בסמוך לשעה 22:40, נפגשו הנאשם והסוכן במפגש הרחובות שמאי-ביאנקיני. בשלב זה, העביר הנאשם לסוכן 5 כדורי סם מסוכן מסוג MDMA, ובתמורה קיבל הנאשם מהסוכן 400 ₪ במזומן ועזב את המקום.",כתב האישום והסדר הטיעון,עובדות המקרה
7,SH-21-09-42879-201,בעניינו של הנאשם הוגשו 2 תסקירים.,תסקירי שירות המבחן,תסקיר שירות מבחן
8,SH-21-09-42879-201,"שירות המבחן סקר את הנסיבות המשפחתיות בהן גדל הנאשם וכן השתלבותו במסגרות השונות החל מגיל נעורים ועד עתה. צוין כי הנאשם גדל בנסיבות משפחתיות מורכבות, בעיקר לנוכח התנהגות אביו הביולוגי של הנאשם כלפי אמו והמשפחה.",תסקיר שירות המבחן מיום 8.6.2023,תסקיר שירות מבחן
9,SH-21-09-42879-201,"מבחינת בריאותו הרפואית נפשית של הנאשם, צוין בתסקיר כי בגיל 9 נפגע בתאונת דרכים שבגינה נזקק בעיקר לטיפול נפשי - פסיכיאטרי. אולם כבר עתה יאמר, כי בהקשר זה נמסרו על ידי הנאשם, מחד, והאם, מאידך, נתונים שאינם עולים בקנה אחד זה עם אמירתו של זה. הנאשם מסר שהיה במעקב פסיכיאטרי שכלל מספר פגישות מצומצמות ואילו בפגישה עם אמו נמסר כי הנאשם היה במעקב פסיכיאטרי שכלל שיחות טיפוליות במשך 5 שנים. מכל מקום, עניין הטיפול הנפשי והתאונה לא אומת מאחר שבפני שירות המבחן לא הוצגו מסמכים. עוד יאמר שגם בפני בית המשפט לא הוצגו מסמכים תומכים המלמדים על מצב בריאותו הנפשית של הנאשם בעבר ובהווה.",תסקיר שירות המבחן מיום 8.6.2023,תסקיר שירות מבחן
10,SH-21-09-42879-201,מהתסקיר עולה עוד כי הנאשם החל להשתמש בקנאביס בנערותו (כיתה י') וכי כיום הינו בעל אישור לקנאביס רפואי.,תסקיר שירות המבחן מיום 8.6.2023,תסקיר שירות מבחן
11,SH-21-09-42879-201,"בתסקיר צוין כי הנאשם נטל אחריות מלאה על ביצוען של העבירות, הביע התנצלות על מעשיו והבין את חומרת התנהגותו. הנאשם מסר לשירות המבחן כי שיקול דעתו היה מוטעה והרצון להשיג כסף זמין הוא שהניע אותו לביצוע העבירות. בתסקיר צוין כי העבירות הובילו אותו לשינוי והתקדמות בחייו.",תסקיר שירות המבחן מיום 8.6.2023,תסקיר שירות מבחן
12,SH-21-09-42879-201,"אשר להשתלבות הנאשם בהליך טיפולי; מתסקיר שירות המבחן עלה כי במסגרת הליך המעצר וצו הפיקוח שהיה נתון בו, שולב הנאשם בקבוצה ייעודית לעצורי בית והגיע ל-8 מתוך 12 מפגשים קבוצתיים שהתקיימו בתקופת הפיקוח. מהתסקיר עלה שהנאשם השתתף באופן חלקי בשיח הקבוצתי.",תסקיר שירות המבחן מיום 8.6.2023,תסקיר שירות מבחן
