part_number,verdict,text,part,predicted_category
1,SH-21-03-7171-604,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  13, 19א",nothing,מידע אחר
2,SH-21-03-7171-604,"חוק העונשין, תשל""ז-1977: סע'  413",nothing,מידע אחר
3,SH-21-03-7171-604,הנאשם הורשע על פי הודאתו בשני כתבי אישום.,רקע,עובדות המקרה
4,SH-21-03-7171-604,"בתפ""ק 7171-03-21 בביצוע עבירה של סחר בסם מסוכן, לפי סעיף 13 +19א לפקודת הסמים המסוכנים (נוסח חדש), תשל""ג- 1973 (להלן: ""פקודת הסמים המסוכנים"").",רקע,עובדות המקרה
5,SH-21-03-7171-604,"על פי כתב האישום, ביום 16.2.21 בשעת ערב פנה שוטר בלבוש אזרחי לנאשם, בעודו עומד בפינת רחוב, וביקש ממנו להביא לו סם בתמורה ל- 100 ₪. הנאשם לקח את שטר הכסף ומסר לשוטר סם מסוכן מסוג קוקאין במשקל 0.0882 גרם נטו.",רקע,עובדות המקרה
6,SH-21-03-7171-604,"בת""פ 6358-10-21 בביצוע עבירה של החזקת נכס חשוד כגנוב, לפי סעיף 413 לחוק העונשין, התשל""ז- 1977 (להלן: ""חוק העונשין"").  על פי כתב האישום, ביום 1.6.21 התפרץ אחר לקופת חולים כללית וגנב מחשב, מקלדת, מסך מחשב ועכבר. בהמשך הנאשם שאל את האחר אם ברצונו למכור את הרכוש הגנוב, ולאחר מכן רכשו בתמורה ל-150 ₪.",רקע,עובדות המקרה
7,SH-21-03-7171-604,נסיבות חייו האישיות המשפחתיות של הנאשם אינן קלות.,תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
8,SH-21-03-7171-604,"הנאשם גדל בעזובה רגשית וחינוכית, והיה קרבן מילדות לאלימות אביו. הוא נפלט ממערכת החינוך כעבור 8 שנות לימוד, לאחריהם הדרדר תפקודו, והוא החל להסתבך בפלילים. בגיל 13 הושם הנאשם במעון נעול כחלופת מאסר, ובגיל 15 עם החזרה לבית אמו הוחמר מצבו, הוא פיתח דפוסי התמכרות לסמים ואלכוהול, והעמיק מעורבותו בפלילים. מאז התקשה הנאשם לשמר אורח חיים יציב ונורמטיבי, והתנהל על פי דפוסים עברייניים מושרשים.",תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
9,SH-21-03-7171-604,"הנאשם כבן 29, ריצה עד כה מספר עונשי מאסר ממושכים. בשנת 2018, במהלך ריצוי עונש המאסר האחרון בכלא חרמון, גילה הנאשם מוטיבציה שיקומית והשתלב בטיפול גמילה ממושך. עם שחרורו הוצע לנאשם להשתלב בהוסטל המשכי, אך הנאשם סירב לכך, והטיפול נקטע. לתקופה ניסה הנאשם לשמר תפקוד נורמטיבי, הוא נמנע משימוש בסמים והשתלב בעבודה. ואולם כעבור חודשים ספורים ביצע את העבירות שבפני.",תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
10,SH-21-03-7171-604,"עוד בשלב המעצר הביע הנאשם עייפות ומצוקה מאורחות חייו, והכיר בנזקקותו לעזרה. הנאשם הופנה ליחידה להתמכרויות, שולב בטיפול קבוצתי, ומסר בדיקות שתן לאיתור שרידי סם.",תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
11,SH-21-03-7171-604,ביולי 2022 נקלט הנאשם בבית המשפט הקהילתי.,תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
12,SH-21-03-7171-604,"במסגרת התסקיר הקהילתי, עמד שירות מבחן על חיוניות שילוב הנאשם בטיפול בהתמכרות כמוקד התערבות מרכזי. לצדו, הומלץ על שילוב הנאשם בטיפול ייעודי לעוברי חוק, וסיועו במיצוי זכויות, באיתור מענה תעסוקתי, וחיזוק קשרי קהילה.",תסקירי שירות מבחן וחוות דעת הממונה,תסקיר שירות מבחן
