verdict,text,part,mapped_category
SH-16-11-49772-358,"חוק העונשין, תשל""ז-1977: סע'  144(א), 383(א)(1), 384",nothing,מידע אחר
SH-16-11-49772-358,"הנאשם הורשע על פי הודאתו בביצוע עבירות של החזקת נשק ותחמושת בהתאם לסעיף 144(א) רישא וסיפא לחוק העונשין, התשל""ז – 1977, וגניבה בהתאם לסעיף 383(א)(1) וסעיף 384 לחוק העונשין, התשל""ז- 1977.",רקע,עובדות המקרה
SH-16-11-49772-358,"בתאריך  18.11.16 בסמוך לשעה 13:30, נכנס הנאשם לתא שירותים בחנות ""לארג' קפה"" ברחוב רוטשילד 62 בכפר סבא ונטל משם אקדח שנשכח בשגגה במקום על ידי אחר. הנאשם הסליק את האקדח באדנית עץ בסמטה הסמוכה לרחוב וייצמן 113 בכפר סבא.",רקע,עובדות המקרה
SH-16-11-49772-358,"בתאריך 16.10.17, התקבל בעניינו של הנאשם תסקיר שירות מבחן בו מתואר כי הנאשם בן 60, גרוש ואב לשני ילדים, מתגורר בגפו בכפר סבא ועובד בעיריית כפר סבא החל משנת 1991. בעקבות גירושיו, נקלע הנאשם למצב כלכלי קשה ומקבל סיוע במזון מאגף הרווחה בעירייה ואף נאלץ להתגורר במשך כ-3 שנים במחסני מקום עבודתו. גרושתו ניתקה עמו קשר וכך גם בנו הבכור ושתי אחיותיו. לחובתו הרשעה קודמת משנת 2014 בגין עבירת איומים כלפי גרושתו. הנאשם קיבל אחריות על מעשיו בפני שירות המבחן וטען כי פעל מתוך דחף רגעי וכי חש רגשות אשם ובושה. מהתסקיר עולה כי לנאשם דפוס שימוש בעייתי באלכוהול וזהו לדבריו הרקע לביצוע העבירה. הוא החל טיפול בעמותת ""אפשר"" אשר נקטע לחודש עקב תאונת עבודה שעבר הנאשם. שירות המבחן עתר לדחייה על מנת לעקוב אחר הטיפול בנאשם.",רקע,תסקיר שירות מבחן
SH-16-11-49772-358,"לדיון שהתקיים בתאריך 13.2.18 הוגש תסקיר נוסף ממנו עולה כי הנאשם מצוי בטיפול בעמותת ""אפשר"" החל מתאריך 15.5.17. הוא אובחן על ידם כאלכוהוליסט ברמה חמורה ובתחילה אף לא הגיע באופן עקבי לטיפולים. הנאשם דיווח לשירות המבחן כי מאז תחילת הטיפול הוא אינו צורך אלכוהול. הערכת העמותה היא כי הנאשם צפוי לעבור תהליך טיפולי ארוך וקיימת תכנית שמוצעת לצורך כך. התרשמות שירות המבחן היא כי הנאשם עובר שינוי, מתחיל לקבל אחריות על מצבו, מבין את הפסול במעשיו ומוכן לשאת במחירים. המלצת שירות המבחן היא כי, על מנת שלא לקטוע את ההליך השיקומי אשר נמשך 8 חודשים ויש בו על מנת לצמצם את הסיכון להישנות ביצוע עבירה, יוטל על הנאשם צו מבחן ולצדו מאסר על תנאי לתקופה משמעותית.",רקע,תסקיר שירות מבחן
SH-16-11-49772-358,בתאריך 7.3.18 התקבלה הודעה משירות המבחן כי הנאשם ניתק עמם קשר מזה כשלושה שבועות.,רקע,תסקיר שירות מבחן
SH-16-11-49772-358,"ב""כ המאשימה, עו""ד נעמי מששה, סבורה כי בעת קביעת מתחם העונש יש לקחת בחשבון את חומרת העבירה ונסיבות ביצועה. היא מפנה לערך המוגן שנפגע – שמירה מפני פגיעות בגוף, הדגישה כי מדובר בנשק חם, אשר הזמינות שלו יכולה להביא לביצוע עבירות חמורות ולפגיעה בחיי אדם. היא הפנתה לנתונים סטטיסטיים בנוגע למקרי ירי באזור המרכז וכן לפסיקה בנושא. היא מציינת כי אין מדובר רק בהחזקת נשק אלא גם בגניבתו והסלקתו במקום ציבורי. היא עתרה למתחם ענישה שינוע בין 20 ל- 42 חודשי מאסר בפועל. כאשר נלקחת בחשבון הודאתו והאמור בתסקיר שירות המבחן. היא מבקשת למקם את העונש בתחתית המתחם לצד ענישה נלווית. הוגש גיליון הרשעותיו הקודמות של הנאשם (ת/1) ובו הרשעה קודמת בעבירת איומים משנת 2014.",טיעוני הצדדים,טיעוני הצדדים
SH-16-11-49772-358,"ב""כ הנאשם, עו""ד דוד אריכא, טען כי אין מדובר בעבירת נשק קלאסית אלא גניבה והחזקה לתקופה קצרה בסמוך למקום הגניבה. הנאשם בהיותו בגילופין נטל חפץ יקר ערך, מבלי לייחס חשיבות למהות החפץ ולסיכונים הטמונים בו. הוא טמן את הנשק בסמוך למקום הגניבה, הלך לעשות קניות לשבת וחזר להרגלו של שתיית אלכוהול וכשהתפכח התכוון להחזיר את הנשק, אולם עוד קודם לכן הגיעו לביתו כוחות המשטרה והוא מיד הודה בביצוע העבירה והוליך אותם לנשק. הוא הודה בהזדמנות הראשונה ולקח אחריות למעשיו. הוא הפנה לפסיקה מקלה בעבירות מעין אלו והדגיש את נסיבות החיים הקשות של הנאשם, לרבות מצבו הכלכלי ואת התוצאות הקשות שייגרמו לו באם ייגזר עליו עונש של מאסר בפועל ואף בדרך של עבודות שירות, מאחר והוא יפוטר ממקום עבודתו ובגילו ומצבו לא יוכל למצוא מקור פרנסה אחר ובכך אף ייקטע הליך השיקום בו החל. הוא מפנה להמלצת שירות המבחן ומבקש לאמצה.",טיעוני הצדדים,טיעוני הצדדים
SH-16-11-49772-358,הנאשם עצמו אמר כי טעה והוא מצטער על כך. הוא תיאר את מצבו הכלכלי הקשה שהביאו עד פת לחם.,טיעוני הצדדים,טיעוני הצדדים
SH-16-11-49772-358,הערך המוגן אשר נפגע כתוצאה ממעשיו של הנאשם הינו הגנה על שלומו וביטחונו של הציבור.,מתחם העונש,דיון והכרעה
