verdict,text,part,mapped_category
ME-18-01-45117-99,"הנאשם הורשע, על פי הודייתו, בעבירות סמים הנוגעות ליבוא קוקאין מקולומביה. הודיית הנאשם היתה במסגרת הסדר טיעון שכלל את תיקונו של כתב האישום וכן כלל הסכמה חלקית לגבי הענישה, באופן שהמאשימה טענה לרכיב מאסר בפועל לתקופה של 8 שנות מאסר, בעוד הנאשם טען לרכיב מאסר בפועל לתקופה של 5 שנות מאסר. כמו כן הוסכם כי יושת מאסר על תנאי. המאשימה אף הודיעה כי לא תבקש להטיל קנס בשים לב להסכמה נוספת במסגרת ההסדר ולפיה יבקשו הצדדים לחלט את רכבו של הנאשם.",כללי,עובדות המקרה
ME-18-01-45117-99,"הנאשם יליד 1994 ותושב כפר יאסיף. על פי הנטען בכתב האישום המתוקן, במהלך חודש 11/17 הוא קשר עם בנימין כהן -אזרח ישראל שהתגורר אותה תקופה בקולומביה (להלן: כהן), לייבא  לישראל סם מסוכן מסוג קוקאין במשקל 2 ק""ג. במסגרת הקשר לעיל, במהלך החודשים נובמבר–דצמבר 2017, העביר הנאשם כספים בסדר גודל של עשרות אלפי שקלים לכהן ששהה בחו""ל והשניים סיכמו כי לאחר שהסמים יגיעו לישראל והנאשם יקבלם באמצעות בלדר, הוא יעביר לכהן תשלום נוסף עבורם. במהלך פעילות של משטרת ישראל, נתפסו 2  חבילות שהכילו קוקאין במשקל כולל של 1,986 גרם נטו שהתקבלו על ידי שוטר ישראלי באחת ממדינות דרום אמריקה והובאו על ידי האחרון ארצה. ביום 28.12.17 הוצא מאחת החבילות, קוקאין במשקל 4.87 גרם ודגימה זו הוכנסה יחד עם סמי דמה לתיק שנמסר לסוכן משטרתי שהזדהה מאוחר יותר כבלדר הסמים שאמור להביאם לנאשם. בין התאריכים 28.12.17 ל 29.12.17 שלח הנאשם לכהן מסרונים ובהם ביקש לברר מתי הוא אמור לפגוש את הבלדר ולאסוף ממנו את הסמים. ביום 30.12.17 עדכן כהן את הנאשם שהבלדר נמצא במלון גולדן-קראון בחיפה. במועד לעיל בשעות הערב, נסע הנאשם למלון בלוויית חברו נ.ח. על מנת לפגוש את הבלדר ולאסוף ממנו את הסמים. בהמשך, לאחר שהנאשם קיבל מכהן פרטים אודות מיקום הבלדר ופרטי זיהויו, ניגש הנאשם למסעדה הסמוכה למלון, וזאת ביום 31.12.17 בשעה 00:45, ניגש אל הסוכן ומסר לו את מכשיר הטלפון אותו החזיק כדי שהסוכן ישוחח עם כהן ויאשר את העברת הסם. לאחר שכהן, או מי מטעמו, שוחח עם הסוכן בספרדית, העביר האחרון את התיק מתחת לשולחן במסעדה והנאשם לקח את התיק ויצא מהמסעדה. מיד בסמוך לאחר מכן, שוטרים שנכחו במקום ביקשו לעצור את הנאשם אך הלה החל לברוח מהמקום תוך שהשליך את התיק ובו הסמים. לאחר מרדף קצר נעצר הנאשם.",כתב האישום המתוקן,עובדות המקרה
ME-18-01-45117-99,"העבירות בהן הורשע הנאשם היו קשר לפשע, לפי סעיף 499(א)(1) לחוק העונשין, תשל""ז–1977 (להלן: חוק העונשין) וכן ניסיון לייבוא סם מסוכן, לפי סעיפים 13+19א' לפקודת הסמים המסוכנים [נוסח חדש] תשל""ג–1973 (להלן: פקודת הסמים המסוכנים)+סעיפים 25 ו 29 לחוק העונשין.",כתב האישום המתוקן,עובדות המקרה
ME-18-01-45117-99,"הנאשם, בן 24, בן בכור למשפחה נורמטיבית המונה 3 ילדים, רווק, תושב כפר יאסיף, נעדר הרשעות קודמות, סיים 12 שנות לימוד והוסמך כמדריך כושר גופני ושחיה ולדבריו עבד בתחום זה וכן כמדריך נוער עד למעצרו. עוד מסר, כי החל משנת 2015 נרקם בינו לבין בנימין כהן (כנגדו מתנהל בימים אלה הליך בתיק מקביל) קשר במסגרתו החלו לעבוד במשותף במכירה בארץ של מוצרים מקולומביה, שהתקבלו לידי הנאשם באמצעות הדואר. בהמשך, הוצע לנאשם להיות שותף בעסקת סמים. הנאשם מסר כי הבין את משמעות הדבר  והתפתה לכך מסיבות כלכליות ולצורך בניית ביתו. הנאשם הביע הבנה לפסול שבהתנהגותו, ציין את השלכות ההליך עליו וביטא רצון לחזור לניהול אורח חיים תקין. דווח כי התנהגותו במעצר תקינה והוא שולב במסגרות שונות. יחד עם זאת, שירות המבחן התרשם כי הנאשם התקשה לערוך בחינה עצמית אמיתית של התנהגותו, שכן הציג עצמו כקורבן למעשי שותפו ותיאר את האחרון כמי שניצל אותו. הנאשם גם לא נתן הסבר מניח את הדעת לפער בין תפקודו הכללי שתואר לעיל ונתוני משפחתו לבין העבירות אותן ביצע. משום העמדה המצמצמת בה נקט הנאשם התקשה שירות המבחן להעריך את מסוכנותו העתידית הגם שצוין כי באופן כללי קיים סיכון להישנות התנהגות פורצת גבול. בשל הנתונים לעיל ועל רקע הסדר הטיעון לא הובאה המלצה טיפולית.",תסקירי שירות המבחן,תסקיר שירות מבחן
ME-18-01-45117-99,"המאשימה עמדה על חומרת מעשי הנאשם והפנתה לנסיבות הפועלות לחובתו – מדובר במעשים מתוכננים ומתוחכמים וזאת בהתייחס לייבוא סם בהיקף משמעותי ביותר. מעשים אלה, ככלל, מחייבים ענישה מרתיעה, הן כלפי כלל הציבור והן בהתייחס לנאשם. ענישה משמעותית מתחייבת גם משום שיקולי הגמול ומשום חומרת מעשיו. יחד עם זאת, הפנתה המאשימה לעיקר השיקולים שהביאו אותה להסדר הטיעון והם שיקולים ראייתיים וכן החיסכון הניכר בזמן שיפוטי. עוד נטען כי טווח הענישה עליו הוסכם הינו סביר בנסיבות העניין ומשקלל נכונה את כלל השיקולים. המאשימה עתרה להשתת העונש המקסימאלי בגדרי ההסדר, בנוסף לרכיב של מאסר על תנאי ולחילוט רכבו של הנאשם.",תמצית טיעוני המאשימה לעונש,טיעוני הצדדים
ME-18-01-45117-99,"במסגרת ראיותיו לעונש, הציג הנאשם תעודות שקיבל ממכון וינגייט בשנת 2016 לאחר שהוסמך כמדריך במגוון תחומים (מדריך ריצות ארוכות, מדריך כדורגל, מדריך כושר גופני, מאתר נוער בסיכון ועוד), תעודה כי הוסמך בשנת 2014 כמפעיל מחרטה וכן תלושי משכורת המעידים כי עבד באופן סדיר בחברת בניה בשנת 2017.",ראיות וטיעוני הנאשם לעונש,ראיות לעונש
ME-18-01-45117-99,"בנוסף, העידו כעדות אופי לזכות הנאשם אמו וקרובת משפחה נוספת. השתיים מסרו כי משפחתו הגרעינית והמורחבת של הנאשם הינה משפחה נורמטיבית ומכבדת חוק ומעשיו נפלו על קרוביו כרעם ביום בהיר. הנאשם תואר כמי שעזר לכל קרוביו ומכריו, כאדם טוב לב וכמי שהיה צפוי לו עתיד חיובי בשים לב ליכולותיו, לכישוריו ולהשכלתו. העדות עתרו ליתן לנתונים אלה משקל ולהשית על הנאשם עונש מתון ככל שניתן, כך שיוכל להשתחרר בעתיד הנראה לעין ולשוב לדרך הישר.",ראיות וטיעוני הנאשם לעונש,ראיות לעונש
ME-18-01-45117-99,"במסגרת טיעוניו, טען בא כוח הנאשם כי יש להשית על הנאשם את העונש המינימאלי בגדרי ההסדר. בהקשר זה הפנה בא כוח הנאשם למגוון שיקולים שיש בהם כדי להביא לשיטתו לתוצאה לעיל – הודיית הנאשם במיוחס לו בטרם שמיעת ראיות. מדובר בהודיה שמעבר לכך שהביאה לחיסכון ניכר בזמן שיפוטי, היא גם ביטאה את חרטתו האמיתית והכנה של הנאשם על מעשיו. נטען בהקשר לעיל כי מדובר באזרח נורמטיבי, נעדר עבר פלילי – נתון העולה בבירור מתסקיר שירות המבחן ומיתר הנתונים הנוגעים לנאשם. כאמור, מדובר במי שסיים 12 שנות לימוד ולאחר מכן השתלם ועסק בחינוך גופני וכן עם נוער. אכן, הנאשם מעד בכך שהתפתה לייבא עם שותפו סמים לארץ, אך האינטרס הציבורי והפרטי מחייבים כי תינתן לו האפשרות הריאלית לחזור לתלם עם תום מאסרו ולכן יש לשאוף לכך כי תקופת המאסר תהיה קצרה ככל שניתן. עוד נטען, כי גם אם תושת תקופת המאסר המינימאלית עדיין מדובר בפרק זמן ארוך ומשמעותי למדי, קל וחומר לאדם צעיר שהינו, כאמור, נעדר עבר פלילי. בא כוח הנאשם הפנה לפסיקה מגוונת בעבירות סמים ממנה, כך נטען, יש להסיק שהרף התחתון בהסדר – הוא העונש הראוי במקרה דנן.",ראיות וטיעוני הנאשם לעונש,טיעוני הצדדים
ME-18-01-45117-99,"בדבריו בטרם גזר הדין, מסר הנאשם כי הוא מתחרט על מעשיו, התנצל בפני בית המשפט ומשפחתו וביקש כי יושת עליו עונש קל ככל שניתן בנסיבות, כדי שיוכל לפתוח דף חדש.",ראיות וטיעוני הנאשם לעונש,טיעוני הצדדים
ME-18-01-45117-99,"כאמור בפרק הכללי לעיל, הנאשם הודה במיוחס לו במסגרת הסדר טיעון שהרכיב העיקרי בו היה הסכמה חלקית לעונש ולפיה המאשימה תטען לרכיב מאסר בפועל לתקופה של 8 שנים, בעוד הנאשם יטען לתקופה של 5 שנים בפועל.",דיון ומסקנות,עובדות המקרה
