part_number,verdict,text,part,predicted_category
1,SH-21-11-47780-86,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), ג, 13, 19א","בשם הנאשם:			עו""ד ויקי שמואל",מידע אחר
2,SH-21-11-47780-86,"חוק העונשין, תשל""ז-1977: סע'  51ג(ג)","בשם הנאשם:			עו""ד ויקי שמואל",מידע אחר
3,SH-21-11-47780-86,"הנאשם הורשע בהתאם להודאתו בכתב אישום מתוקן בעבירות סחר בסמים (5 עבירות), לפי סעיפים 13 ו-19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: פקודת הסמים); החזקת סמים לצריכה עצמית, לפי סעיף 7(א) ו-(ג) סיפא לפקודת הסמים. במרבית המועדים הרלוונטיים לכתב האישום עשה אחר שזהותו אינה ידועה למאשימה שימוש בתוכנת ""טלגרם"" לצורך התכתבות עם צרכני סמים, ותיאם עמם עסקאות לממכר סמים – כמות הסם, התמורה ומקום ביצוע העסקה. לאחר שקיבל את פרטי העסקה הגיע הנאשם למקומות המפגש, פגש ב""לקוחות"", מסר להם סמים וקיבל את תמורתם. אישום מס' 1: ביום 14.11.21 נעצר הנאשם כשעל גופו סם מסוג קנאביס במשקל 2 גרם נטו. בביתו של הנאשם נתפס סם מסוג קנאביס במשקל 8 גרם נטו. אישום מס' 2: ביום 27.10.21 בשעה 20:00 לערך הגיע משה מגור אל מחוץ לביתו של הנאשם כדי לרכוש סמים. הנאשם הגיע למקום, ומסר למשה 9 שקיות שהכילו סם מסוג קנאביס במשקל כולל 20 גרם נטו, כנגד תמורה כספית בסך 1,550 ₪. אישום מס' 3: ביום 28.10.21 בשעה 20:15 לערך הגיע יגאל אסאילוב אל מחוץ לביתו של הנאשם כדי לרכוש סמים. הנאשם הגיע למקום בקורקינט חשמלי (להלן: הקורקינט), ומסר ליגאל שקית שהכילה סם מסוג קנאביס במשקל 1.16 גרם, כנגד תמורה כספית בסך 100 ₪. אישום מס' 5: ביום 7.11.21 בשעה 21:45 לערך הגיע רון בוחבוט לרחוב נחל הבשור 30 בנתניה כדי לרכוש סמים. הנאשם הגיע למקום באמצעות הקורקינט, ומסר לרון שק שקיות שהכילו סם מסוג קנאביס במשקל כולל 2.08 גרם נטו, כנגד תמורה כספית בסך 200 ₪. אישום מס' 6: ביום 11.11.21 בשעה 19:30 לערך הגיע אסף וידנפלד אל מחוץ לביתו של הנאשם כדי לרכוש סמים. הנאשם הגיע למקום, ומסר לאסף שתי שקיות שהכילו סם מסוג קנאביס במשקל כולל 4.07 גרם נטו, כנגד תמורה כספית בסך 400 ₪. ראוי לציין כי עסקה זו בוצעה לאחר שיח מקדים ישיר בין ""הלקוח"" לבין הנאשם ביישומון ""ואטסאפ"". אישום מס' 7: ביום 11.11.21 בשעה 20:14 לערך הגיע מיכאל שוורצנצר לרחוב שלום עליכם בנתניה כדי לרכוש סמים. הנאשם הגיע למקום באמצעות הקורקינט, ומסר למיכאל שקית ובה סם מסוג קנאביס במשקל 1.01 גרם נטו, כנגד תמורה כספית בסך 100 ₪.",רקע,עובדות המקרה
4,SH-21-11-47780-86,"הנאשם הופנה לשירות המבחן. תסקיר מיום 28.3.23: הנאשם בן 21, רווק, מתגורר בבית הוריו ואיננו עובד. הוא השלים 12 שנות לימוד ובעל תעודת בגרות חלקית. לדבריו, התמודד עם קשיי קשב וריכוז, אך לא נטל טיפול תרופתי באופן רציף בשל תופעות לוואי מהן סבל. הוא החל שירות צבאי, התקשה להסתגל, ובחלוף חודשים אחדים ערק עד שנעצר לאחר כשנה ומחצה, ובהמשך נדון למאסר אותו ריצה במקביל למעצרו בהליך דנן. במהלך תקופת העריקות עבד הנאשם כתשעה חודשים בקפיטריה, ובהמשך לא עבד במשך מספר חודשים – עד מעצרו. לדברי הנאשם, הוא נחשף לקנאביס בגיל 18 לערך, על רקע חברתי. בתחילה השתמש בסם באופן מזדמן, ובהמשך עבר לשימוש אינטנסיבי יותר. לטענתו, עם גיוסו ועל רקע החמרה במצבו הבריאותי, הפסיק להשתמש בסמים. בתחילת האבחון מסר בדיקת שתן נקייה. עם זאת, בבדיקות שתן נוספות שנערכו ע""י שירות המבחן נמצאו שרידי סם מסוג קנאביס. הנאשם טען כי השתמש בסמים כדרך לטשטש את התחושות הקשות שחש לנוכח תנאי מעצרו בפקא""ל. שירות המבחן המליץ לנאשם לפנות ליחידה לטיפול בהתמכרויות ""בית חוסן"". הנאשם התקבל לטיפול בחודש נובמבר 2022, ובהמשך התקבלה המלצת שירות המבחן והוסר הפיקוח האלקטרוני. חרף ההזדמנות שניתנה בידו, הנאשם התקשה להתגייס להליך הטיפולי, והתנהלותו התאפיינה בחוסר יציבות ואי הגעה למסגרת. ביום 1.2.23 נערך דיון בעניינו והוחלט לאפשר לו להמשיך במסגרת. ביום 15.2.23 נערכה ישיבה נוספת, ושוב הוחלט לתת לו הזדמנות להוכיח את עצמו. ביום 8.3.23 נערך דיון נוסף, לאחר ששוב נעדר מהטיפול. בעקבות הצבת גבול ברור, החל הנאשם להגיע לטיפול ברצף, השתלב בקבוצת צעירים אליה הגיע 3 פעמים בשבוע, ולשיחה פרטנית שבועית. כמו כן מסר בדיקות שתן נקיות. אשר לעבירות בהן הורשע – הנאשם הודה בביצוען וביטא הבנה ראשונית לדפוסיו שהובילו למעשים. בהמלצת שירות המבחן הוזמן תסקיר משלים.",רקע,תסקיר שירות מבחן
5,SH-21-11-47780-86,"תסקיר מיום 26.6.23: במהלך התקופה שחלפה התקבלו דיווחים חוזרים מ""בית חוסן"", לפיהם הנאשם מתקשה לעמוד בתנאי המסגרת. כן הודה כי מעד לשתיית אלכוהול. לאחר מספר ניסיונות שנועדו לאפשר לנאשם לחזור ולהשתלב במרכז יום לצעירים, ולאחר שהנאשם לא עמד בתנאי המקום, החליטו גורמי הטיפול כי הוא נעדר מוטיבציה מספקת לקחת חלק בתהליך הטיפולי, והפסיקו את השתתפותו. בשיחה עם קצינת המבחן אודות המהלך הטיפולי, התרשמה האחרונה כי הנאשם מחזיק בעמדה קורבנית, וחושש מההליך הפלילי ומתוצאותיו. הוא הוזמן למסור בדיקת שתן נוספת והגיע לבדיקה, אך התקשה למסור דגימה. לנוכח נזקקותו הטיפולית של הנאשם, ועל רקע הפסקת הטיפול ב""בית חוסן"", הוצע לנאשם לסייע לשלבו בקהילה טיפולית סגורה, אך הוא סירב. לנוכח המקובץ נמנעה קצינת המבחן ממתן המלצה טיפולית-שיקומית.",רקע,תסקיר שירות מבחן
6,SH-21-11-47780-86,"לבקשת ההגנה הופנה הנאשם לקבלת חוות דעת הממונה על עבודות שירות, אשר מצא את הנאשם מתאים לריצוי עונשו בדרך זו.",רקע,ראיות לעונש
7,SH-21-11-47780-86,"בדיון מיום 2.1.24 נשמעו טיעוני הצדדים לעונש. בפתח הדיון ביקשה ב""כ המאשימה להכריז על הנאשם כסוחר סמים, ולהורות על חילוט טלפון וקורקינט חשמלי בהם עשה שימוש בביצוע העבירות. ב""כ המאשימה עמדה על האופן המתוכנן בו ביצע הנאשם את מעשיו, תקופה קצרה בת כשבועיים במהלכה הספיק לבצע חמש עבירות סחר בסמים, שנועדו להפקת רווח קל. היא ביקשה לקבוע מתחם עונש בין 12-3 חודשי מאסר בפועל לכל אחת מעבירות הסחר בסמים, והפנתה לפסיקה להמחשת מדיניות הענישה. בגזירת העונש בתוך המתחם הפנתה לתוכנם של תסקירי המבחן, לגילו הצעיר של הנאשם והודייתו במיוחס לו. לדבריה, הנאשם נעדר הרשעות קודמות. היא ביקשה לגזור עליו 15 חודשי מאסר בפועל, מאסר על-תנאי, קנס, פסילת רישיון הנהיגה בפועל ועל-תנאי. לשאלת בית המשפט השיבה כי הנאשם היה נתון במעצר מיום 14.11.21 עד יום 2.5.22, ומאותו מועד היה נתון במעצר בפקא""ל עד יום 4.12.22.",רקע,טיעוני הצדדים
8,SH-21-11-47780-86,"ב""כ הנאשם ביקש להדגיש את פרק הזמן הקצר בו בוצעו העבירות, כשבועיים ימים, את כמות הסם הכוללת שנמכרה, שאיננה גבוהה ועומדת על 28 גרם, ואת התמורה הכוללת שקיבל הנאשם – סך של 2,300 ₪. הוא ביקש להתחשב בנסיבותיו האישית של הנאשם: גילו הצעיר – בן עשרים במועד ביצוע העבירות; היעדר הרשעות קודמות למעשיו; הודייתו במיוחס לו בבית המשפט ובפני שירות המבחן; שיתוף הפעולה החלקי עם שירות המבחן ועם המסגרת הטיפולית ""בית חוסן""; הנאשם עובד כיום כמלצר בבית קפה הסמוך למקום מגוריו ומנהל אורח חיים נורמטיבי; הוא עתיד להינשא בעוד חודשיים לבת זוגו בשנתיים האחרונות; בת הזוג בהריון מתקדם והנאשם עתיד להפוך בקרוב לאב. ב""כ הנאשם ביקש ליתן משקל לתקופה הממושכת בה הנאשם היה נתון במעצר – כחמישה חודשים וחצי, ולתקופת המעצר בפקא""ל, ועתר לגזור עליו מאסר בפועל ברף העליון האפשרי לביצוע בדרך של עבודות שירות (9 חודשי מאסר), מבלי לנקות את התקופה בה הנאשם היה נתון במעצר. לטענתו, הדבר אפשרי הואיל וממילא, כך לשיטתו, מתחם העונש הראוי בגין מעשיו של הנאשם מתחיל בתקופת מאסר בפועל שניתן לרצות בדרך של עבודות שירות.",רקע,טיעוני הצדדים
9,SH-21-11-47780-86,"הנאשם סיפר כי במהלך השנתיים שחלפו מאז הגשת כתב האישום, חווה עליות ומורדות. לטענתו, ""תמיד ניסיתי לתת מעצמי יותר, ניסיתי טיפול, ניסיתי הכל. אני יודע שהתסקיר שעשיתי הוא רע מאוד. אני רוצה שתיקחו בחשבון שעברתי שנתיים של גיהנום. תתנו לי צ'אנס אחרון"". הוא סיפר שהוא עובד, מתפרנס ומפרנס את בת זוגו. השניים מתגוררים אצל הוריו של הנאשם. הוא הביע צער על מעשיו, וסיפר כי למד מהטעות שעשה.",רקע,טיעוני הצדדים
10,SH-21-11-47780-86,"לאחר שנשמעו טיעוני הצדדים לעונש ועובר למתן גזר הדין, ביקשתי מהצדדים ליתן הבהרה באשר לתקופות בהן היה הנאשם נתון במעצר ממש ובמעצר בפיקוח אלקטרוני, תוך התייחסות לטענת שירות המבחן באשר לעונש מאסר שנגזר על הנאשם בבית דין צבאי, אותו לכאורה ריצה במקביל לחלק מתקופת מעצרו בהליך דנן. בעקבות החלטתי התברר כי טיעוני הצדדים לעונש לא היו מדויקים. יש להצר על כך, וראוי כי שני הצדדים יערכו בירור באשר לגורמים שהביאו לתקלה, שעלולה הייתה להטעות את בית המשפט ולהביא למתן גזר דין המבוסס על נתונים שגויים. הנאשם היה נתון במעצר ממש מיום 14.11.21 עד יום 15.2.22, אז נעצר בפיקוח אלקטרוני, ממנו שוחרר לחלופת מעצר ביום 30.11.22. ברם, תקופת המעצר ""נטו"" ככל הנראה קצרה מכפי שהוצג, שכן במקביל לתקופת מעצרו בבית הסוהר נדון הנאשם למאסר בבית הדין הצבאי. למרות ארכה שניתנה, הצדדים לא הציגו נתונים בענין זה. עם זאת, לנוכח העונש שמצאתי לגזור על הנאשם, לא ראיתי לערוך בירור נוסף.",דיון,דיון והכרעה
