part_number,verdict,text,part,predicted_category
1,ME-16-06-50916-362,"חוק העונשין, תשל""ז-1977: סע'  40 ב, 40 ג, 40 ט, 144, 144(ב), 192, 329(2), 338(א)(5), 340א, 40 יא, 40יג (ב)",nothing,מידע אחר
2,ME-16-06-50916-362,"פקודת התעבורה [נוסח חדש]: סע'  התוספת הראשונה, התוספת השנייה, 10א, 62(1), 67",nothing,מידע אחר
3,ME-16-06-50916-362,"הנאשם הודה בתיק זה בעובדות כתב האישום שתוקן, במסגרת הסדר טיעון בין הצדדים, אשר לא כלל הסדר לעניין העונש והורשע בביצוע העבירות כדלקמן:  נשיאת נשק,  עבירה לפי סעיף 144(ב) רישא  לחוק העונשין, התשל""ז – 1977 (להלן: חוק העונשין), איומים, עבירה לפי סעיף 192  לחוק העונשין, יריות באזור מגורים, עבירה לפי סעיף 340א לחוק העונשין, מעשה פזיזות ורשלנות, עבירה לפי סעיף 338(א)(5) לחוק העונשין, נהיגה בזמן פסילה, עבירה לפי סעיף 67 לפקודת התעבורה תשכ""א – 1961 ונהיגה ללא רישיון נהיגה, עבירה לפי סעיף 10א וסעיף 62(1) לפקודת התעבורה [נוסח חדש],תשכ""א-1961 (להלן: פקודת התעבורה).",רקע,עובדות המקרה
4,ME-16-06-50916-362,"כעת, לאחר שהוגש בתיק זה תסקיר שירות המבחן בעניינו של הנאשם והושלם הליך הטיעונים לעונש, כל שנותר הוא לגזור את דינו של הנאשם.",רקע,מידע אחר
5,ME-16-06-50916-362,"בין הנאשם לבין נאסר בסל (להלן: נאסר) ישנה היכרות מוקדמת. בשנת 2002 פקע תוקף רישיון הנהיגה של הנאשם ומאז לא חודש. בתאריך 3.2.15 פסל בית משפט השלום בעכו את הנאשם מלנהוג לתקופה של 24 חודשים, ובמועד הרלוונטי לכתב האישום היה הנאשם פסול מלנהוג. ביום 12.6.16, עובר לשעה 18:25, נסע הנאשם לביתו של אחיו משהור בכפר ג'דידה- מכר (להלן: הבית), כשהוא נוהג ברכב מסוג  סקודה ונושא עמו ברכב נשק מסוג קרל גוסטב, שהוא נשק שסוגל לירות כדור שבכוחו להמית אדם (להלן: הנשק), בלא רשות על פי דין. הנאשם החנה את הרכב ליד הבית, השאיר את הנשק ברכב, ונכנס לתוך הבית. מכתב האישום עולה, כי כעבור זמן קצר הגיע נאסר לבית והחל לשוחח עם הנאשם. במהלך השיחה התלהטו הרוחות. הנאשם אמר לנאסר, כי עכשיו ""נפתח  עניין"" ביניהם. בעקבות הצעקות התגודדו מספר אנשים מחוץ לבית. לאחר כמה דקות, יצאו הנאשם ונאסר מהבית, והנאשם נכנס לרכב. באותה עת היו מספר אנשים מחוץ לבית ואחד מהם אחז באלה. הנאשם נסע מספר מטרים, עצר את הרכב, הוציא את פלג גופו העליון מחלון הנהג, כשהוא מחזיק בנשק וניסה לירות לאזור בו עמדו נאסר וקבוצת האנשים.  בהמשך לכך, פתח הנאשם את דלת הנהג, יצא מהרכב, וירה לא פחות משלושה כדורים לאזור בו עמדו נאסר וקבוצת האנשים, בדרך נמהרת שיש בה לסכן חיי אדם או לגרום לו חבלה, ובמטרה להפחיד את הנוכחים. לאחר מכן, נכנס הנאשם חזרה לרכב והמשיך בנסיעתו. מספר אנשים החלו לרוץ אחר הרכב, שאז הנאשם עצר שוב את רכבו וירה מספר כדורים בדרך נמהרת שיש בה לסכן חיי אדם או לגרום חבלה, ובמטרה להפחידם. לאחר מכן המשיך הנאשם בנסיעתו. במעשיו המתוארים לעיל, נשא והוביל הנאשם נשק ותחמושת בלא רשות על פי דין לנשיאתם ולהובלתם, ירה מספר פעמים מנשק חם באזור מגורים ללא הסבר סביר, בדרך נמהרת שיש בה לסכן את חייהם של נאסר וקבוצת האנשים או לגרום להם חבלה, זאת במטרה להפחיד או להקניט אותם. בנוסף, נהג הנאשם ברכב לאחר שהיה ידוע לו שהוא פסול מלקבל או מלהחזיק רישיון נהיגה וללא רישיון נהיגה תקף.",כתב האישום המתוקן (להלן גם: כתב האישום),עובדות המקרה
6,ME-16-06-50916-362,"תסקיר שירות המבחן מעלה כי הנאשם בן 48, נשוי ואב לחמישה ילדים ועובר למעצרו התגורר עם משפחתו בכפר ג'דידה – מכר. הנאשם יליד ג'נין, הגיע לארץ יחד עם בני משפחתו בשנת 1988, סיים 8 שנות לימוד שאז נאלץ, לדבריו, לעזוב את הלימודים כדי לסייע בפרנסת המשפחה. בשנים האחרונות התקשה הנאשם לשמור על רצף תעסוקתי.",תסקיר שירות המבחן,תסקיר שירות מבחן
7,ME-16-06-50916-362,"עוד עולה מהתסקיר, כי  בעברו של הנאשם הרשעות קודמות בעבירות אלימות, רכוש סמים וזיוף, ובגינן ריצה הנאשם עונשי מאסר. בהתייחס לעבירות מושא כתב האישום, התקשה הנאשם לקבל אחריות לחלקו בביצוען. מדברי הנאשם בפני שירות המבחן עולה, כי פעל ממקום הגנתי וכתגובה ליחסו של המתלונן שגרם לו לחוש מאוים. שירות המבחן התרשם כי הנאשם מתקשה לבטא אמפטיה כלפי המתלונן ומתקשה להתחבר לבעייתיות שבמעשיו ולחומרתם.",תסקיר שירות המבחן,תסקיר שירות מבחן
8,ME-16-06-50916-362,"שירות המבחן הוסיף וציין, כי ברקע של הנאשם התמכרות לסמים, דבר שהשליך על תפקודו בכל המישורים.  הנאשם סיפר כי הוא נוטל תשע שנים תחליף של סם מסוג מתדון ועובר למעצרו טופל במרכז ""מאמץ"" בחיפה. ברם, עד למועד כתיבת התסקיר, לא עלה בידי שירות המבחן לקבל מידע אודות הטיפול שקיבל הנאשם.",תסקיר שירות המבחן,תסקיר שירות מבחן
9,ME-16-06-50916-362,"בבואו להעריך את הסיכון לעבריינות, התרשם שירות המבחן כי  הנאשם מנהל אורח חיים שלילי, וכן כי התמכר לסמים והתנהג באופן פורץ חוק. שירות המבחן סבור כי הנאשם גדל בקונסטלציה משפחתית מורכבת, הוריו התקשו לשמש עבורו דמויות סמכותיות ומציבות גבול, ולפיכך הנאשם אימץ לעצמו דרכים אנטי-סוציאליות לפתרון בעיותיו. שירות המבחן הוסיף וציין, כי הנאשם ריצה, כאמור,  עונשי מאסר לתקופות שונות, אך הדבר לא הרתיע אותו ולא מנע ממנו לבצע עבירות נוספות, מה שעלול להעיד על כך שהנאשם פועל מתוך דפוסים עבריינים מושרשים באישיותו. אי לכך, העריך שירות המבחן כי רמת הסיכון להישנות עבירות דומות בעתיד ע""י הנאשם היא גבוהה, ברמת מסוכנות גבוהה של העבירות.",תסקיר שירות המבחן,תסקיר שירות מבחן
10,ME-16-06-50916-362,"נוכח חומרת העבירות אל מול התייחסותו של הנאשם אליהן, ובהינתן הרשעותיו הקודמות של הנאשם ורמת הסיכון הנשקפת ממנו, נמנע שירות המבחן מליתן בעניינו המלצה על חלופה עונשית במסגרת הקהילה, אשר יהא בכוחו להפחית סיכון להישנות עבירות. עם זאת, ממליץ שירות המבחן בתסקיר לבחון אפשרות לשלב את הנאשם בתוכניות טיפול במסגרת שב""ס.",תסקיר שירות המבחן,תסקיר שירות מבחן
