part_number,verdict,text,part,predicted_category
1,ME-16-08-54879-35,"הנאשם הודה בתיק זה בעובדות כתב האישום שתוקן, במסגרת הסדר טיעון בין הצדדים, אשר לא כלל הסדר לעניין העונש והורשע בביצוע עבירה בנשק (נשיאה והובלה),  לפי סעיף 144(ב) רישא וסיפא לחוק העונשין, התשל""ז – 1977 (להלן: חוק העונשין). במסגרת הסדר הטיעון הנ""ל סוכם בין הצדדים, כי כחלק מראיות ההגנה לעונש, יוגש דיסק שחזור שנערך לשוטר שעצר את הנאשם, הממחיש את המרחק הקצר שבין ביתו של הנאשם למקום בו נתפס הנשק (ראו נ/1).",nothing,עובדות המקרה
2,ME-16-08-54879-35,"מעובדות כתב האישום המתוקן שהוגש במסגרת הסדר הטיעון עולה כי, ביום 17.8.16, סמוך לשעה 11:00  ברחוב ברזילי 12 בחיפה, שם התגורר הנאשם, נשא הלה והוביל תיק ובו תת מקלע מאולתר בקוטר 9 מ""מ, שסוגל לירות כדור שבכוחו להמית אדם (להלן גם: הנשק), מחסנית המתאימה לנשק ובתוכה 7 כדורים, וזאת בלא רשות על פי דין.",כתב האישום,עובדות המקרה
3,ME-16-08-54879-35,"במסגרת ראיות המאשימה לעונש, הוגש גיליון המרשם הפלילי של הנאשם (ת/1). כמו כן הגיש ב""כ המאשימה את טיעוני המאשימה לעונש  בכתב (ת/2) ואסופת פסיקה להמחשת עמדתה העונשית של המאשימה (ת/3).",טיעוני המאשימה לעונש,טיעוני הצדדים
4,ME-16-08-54879-35,"באשר לערכים החברתיים שנפגעו כתוצאה ממעשיו של הנאשם, ציין ב""כ המאשימה את החומרה הרבה הטמונה בעבירות הנשק, בציינו כי לא בכדי קבע המחוקק עונש של עד 10 שנות מאסר בגין העבירה שבפנינו. לחומרה, צוין כי הנשק שהחזיק הנאשם היה מוכן לשימוש, כשלצדו מחסנית ותחמושת רבה. ב""כ המאשימה הוסיף וציין, כי מדובר בנשק אוטומטי שהשימוש בו עלול להוביל לפגיעה רחבת היקף. ב""כ המאשימה הדגיש, כי עבירות בנשק נעשו נפוצות בחברתנו וטען, לפיכך, כי שומה על בית המשפט להכביד בענישה של מבצעי העבירות במטרה למגר רעה מסוכנת זו, המאיימת על שלום הציבור כולו. ב""כ המאשימה הוסיף והדגיש את הסיכון הרב הטמון במקרים בהם הנשק עשוי להגיע לידי ידיים בלתי מיומנות או לגורמים עוינים.",טיעוני המאשימה לעונש,טיעוני הצדדים
5,ME-16-08-54879-35,"ב""כ המאשימה טען, כי רמת הענישה הנוהגת הינה, בהתאם לפסיקת בתי המשפט, רק שיקול אחד בקביעת מתחם העונש ההולם,  וכן הבהיר כי המאשימה סבורה שיש להחמיר בענישה הנוהגת כלפי מבצעי העבירות בנשק.",טיעוני המאשימה לעונש,טיעוני הצדדים
6,ME-16-08-54879-35,"באשר לנסיבות ביצוע העבירה, ציין ב""כ המאשימה את חלקו הבלעדי של הנאשם בביצועה, תוך ששב והדגיש את הנזק והסיכון הטמונים בעבירה בנשק. ב""כ המאשימה טען, כי לנאשם לא הייתה כל סיבה לבצע את העבירה, ובכל עת היה ביכולתו להבין את אשר הוא עושה ואת הפסול שבמעשיו ולהימנע מביצוע העבירה.",טיעוני המאשימה לעונש,טיעוני הצדדים
7,ME-16-08-54879-35,"באשר לנסיבות שאינן קשורות בביצוע העבירה, ציין ב""כ המאשימה כי לחובתו של הנאשם עבר פלילי מכביד במיוחד, הכולל 28 הרשעות במגוון רחב של עבירות. הוטעם בנקודה זו, כי  הנאשם ריצה בעבר עונשי מאסר, וכן צוין כי הנאשם הורשע, בשנת 1985, בעבירה של החזקת נשק שלא כדין בגינה נדון לעונש של 3 שנות מאסר.",טיעוני המאשימה לעונש,ראיות לעונש
8,ME-16-08-54879-35,"לפיכך, בהתחשב בערך החברתי שנפגע מביצוע העבירה ולאור נסיבות ביצוע העבירה ומדיניות הענישה הנוהגת במקרים דומים, סבורה המאשימה, כי מתחם העונש ההולם בתיק זה נע בין 2.5 – 4.5 שנות מאסר לריצוי בפועל, זאת לצד מאסר מותנה. בהינתן עברו הפלילי המכביד של הנאשם, עותרת המאשימה כי בית המשפט ישית על הנאשם עונש המצוי ברף העליון של המתחם הנ""ל.",טיעוני המאשימה לעונש,טיעוני הצדדים
9,ME-16-08-54879-35,"במסגרת ראיות ההגנה לעונש, הוגש כאמור, הדיסק נ/1 וכן תמונה הממחישה את מיקום ביתו של הנאשם ואת מקום עמידת השוטר בעת הרלוונטית, כאשר הבחין בנאשם אוחז בתיק ובתוכו הנשק (ראו: נ/2). כאן אציין, כי אין חולק שהנאשם נשא את הנשק מטרים ספורים בלבד.",ראיות ההגנה לעונש,ראיות לעונש
10,ME-16-08-54879-35,"כמו כן, במסגרת ראיות ההגנה לעונש, העיד בפניי אחיו של הנאשם,  נעים מסארוה (להלן: נעים). נעים סיפר כי החליט לשקם את הנאשם, ולפיכך בכוונתו להעניק לנאשם קורת גג בבניין בו מתגורר בנו ולהעסיקו בעסק המשפחתי. מר נעים הבהיר  כי זו ההזדמנות האחרונה לשיקום, הניתנת לנאשם ע""י בני משפחתו.",ראיות ההגנה לעונש,ראיות לעונש
