part_number,verdict,text,part,predicted_category
1,SH-15-12-65958-120,"חוק העונשין, תשל""ז-1977: סע'  144 (א)",הנאשם בעצמו,מידע אחר
2,SH-15-12-65958-120,"הנאשם, יליד 1984, הורשע על יסוד הודאתו, בעובדות כתב האישום מתוקן, בשלוש עבירות של החזקת נשק ותחמושת לפי סעיף 144 (א) רישא וסיפא לחוק העונשין התשל""ז-1977.",רקע,עובדות המקרה
3,SH-15-12-65958-120,"לפי עובדות כתב האישום, ביום 24.12.15, החזיק הנאשם בביתו בטייבה אקדח זיג זאוור טעון במחסנית ו-8 כדורי אקדח בקוטר 9 מ""מ. עוד החזיק במקום מסתור מעל ארון במטבח ביתו, נשק מאולתר מסוג קרלו טעון במחסנית ובה 15 כדורי 9 מ""מ. באותו מועד, החזיק הנאשם אקדח נוסף ושתי מחסניות האחת ריקה ואחת מלאה ב-6 כדורי אקדח בקוטר 7.65 בתוך קופסה בספרייה בביתו.",רקע,עובדות המקרה
4,SH-15-12-65958-120,"בהתאם להסכמת הצדדים, התקבל תסקיר בעניינו של הנאשם ממנו עולה כי הינו בן למשפחה נורמטיבית ומכובדת, כבן 32 נשוי ואב לשני ילדים. הנאשם בעל חברת ניקיון, למד לימודים אקדמאיים. באשר לרקע לביצוע המעשים, טען שמצא את כלי הנשק ושלל החזקתם להגנה על משפחתו. לצד זאת הוסיף, שבאותה עת אביו שהתמודד על ראשות עיריית טייבה נקלע לאירוע ירי לעבר רכבו, מצב שעורר חשש רב במשפחתו ודאגה עמוקה לאב. שירות המבחן התרשם מקשרים אמיצים בין הנאשם לאביו, שהובילו להזדהות טוטלית עם שאיפות האב ומצוקותיו. עוד סבורים שהנאשם נטל על עצמו את תפקיד שמירת האב ואבטחתו וכי בתקופת ביצוע העבירות היה שרוי בלחצים בשל האיומים כלפי אביו ושאיפתו לניצחונו בבחירות.",תסקיר שירות מבחן,תסקיר שירות מבחן
5,SH-15-12-65958-120,"הנאשם הביע חרטה וצער על מעורבותו במעשים, שוהה תקופה ארוכה בתנאים מגבילים ונראה כי ההליך המשפטי גרם לו לטלטלה עמוקה בחייו. שירות המבחן התרשם עוד, שאין מדובר בנאשם בעל דפוסים עבריינים ונשקף ממנו סיכון נמוך להישנות התנהגות דומה. לצד זאת, התקשה הנאשם להעמיק בנסיבות וברקע למעשיו וצמצם שיתוף הפעולה הטיפולי עם שירות המבחן. באשר לעונש, סבורה קצינת המבחן, שהנאשם אינו בשל להליך טיפולי משמעותי והמליצה על ענישה מתונה לצד צו של""צ.",תסקיר שירות מבחן,תסקיר שירות מבחן
6,SH-15-12-65958-120,"ב""כ המאשימה, עו""ד ערד, עמדה על החומרה הגלומה במעשי הנאשם והחובה להחמיר בעונש מחזיקי נשק שלא כדין. לשיטתה, הפגיעה בערך המוגן חמורה נוכח ריבוי כלי הנשק. עוד סבורה שהרקע לביצוע העבירות שבא לידי ביטוי בהגשת תלונות מצד הנאשם ומשפחתו על הצתות רכבם וירי אינו מצדיק המעשים. המאשימה עתרה למתחם ענישה שנע בין 3-5 שנים, מבקשת למקם עונשו בתחתית המתחם בשל נסיבותיו, לצד מאסר על תנאי וקנס.",טיעוני הצדדים,טיעוני הצדדים
7,SH-15-12-65958-120,"מנגד, עתר ב""כ הנאשם, עו""ד מנדלמן, להקל עם הנאשם. ב""כ הנאשם הפנה לנסיבותיו החיוביות, כשהאירוע נשוא כתב אישום חריג מאד בנוף חייו. ב""כ הנאשם עמד על המצוקה וחוסר האונים בהם היה שרוי הנאשם, עת אחרים פעלו באלימות כנגד משפחתו ותלונותיהם לא טופלו ע""י המשטרה (הוצגה רשימת תלונות שהוגשו ע""י משפחת הנאשם בשנים 2012-2015, סומן נ/1). באשר למעשי הנאשם סבור, שנעשו על רקע הגנה עצמית ומכורח הנסיבות ועתר להסתפק בענישה שאינה כוללת מאסר ממש או לסטייה ממתחם הענישה לצרכי שיקום.",טיעוני הצדדים,טיעוני הצדדים
8,SH-15-12-65958-120,"עוד שמעתי את אבי הנאשם ורעייתו. האב, המשמש שנים רבות כמנהל בית ספר תיכון בעיר טירה, סיפר, כי בסמיכות למועד מציאת הנשק חש סיכון רב לחייו ולחיי משפחתו וכי המשטרה לא טיפלה בתלונותיהם. עוד הסתייג מהחזקת הנשק אך הסביר על תפקידו המרכזי של הנאשם במשפחה המורחבת והקשר החם ביניהם. אשת הנאשם, מחנכת בבית ספר בלוד, סיפרה שהנאשם הינו אדם נורמטיבי ומסור מאד למשפחה. עוד הסבירה שבאותה תקופה הייתה נתונה בחשש ופחד מפני פגיעה בה וילדיה.",טיעוני הצדדים,טיעוני הצדדים
9,SH-15-12-65958-120,"הנאשם עצמו, בדברים כנים ומרגשים, הביע חרטה עמוקה על מעשיו, הסביר שעובד כמנהל עסק גדול וחש אחראי לכל משפחתו. הנאשם סיפר כי הליך המשפטי והתנאים המגבילים היוו עבורו טלטלה קשה וביקש להתחשב בו.",טיעוני הצדדים,טיעוני הצדדים
10,SH-15-12-65958-120,"אין חולק שמעשיו של הנאשם חמורים ומקימים סכנה ניכרת לשלום הציבור. הפסיקה כינתה ובצדק מעשים אלו בגדר ""מכת אזור"" המחייבת הרתעת הנאשם ואחרים שכמותו באמצעות ענישה קשה. נוכח הסיכון הממשי הנשקף לביטחון הציבור מעבירות נשק, מורה הפסיקה כי במסגרת שיקולי הענישה יינתן על דרך הכלל משקל רב יותר לאינטרס הציבורי על פני נסיבותיו האישיות של הנאשם (ראו: רע""פ 6583/06 אגא אדהאם נ' מדינת ישראל, 5.12.06). מחזיקי נשק לא מורשים, כדוגמת הנאשם, שאינם מתאפיינים ברגיל בדפוסי התנהגות עבריינים, נוטלים את החוק לידיהם ומטעמי הגנה על חייהם או חיי משפחתם, רוכשים בדרך לא דרך תתי מקלע, רובים ואקדחים לצד תחמושת מתאימה ומסתירים הנשק בביתם במטרה לעשות בו שימוש קטלני בעת צורך.",דיון והכרעה ,דיון והכרעה
