part_number,verdict,text,part,predicted_category
1,ME-16-01-189-123,"הנאשם הורשע על פי הודאתו, שניתנה במסגרת הסדר טיעון, בעובדות כתב-אישום מתוקן הכולל שני אישומים ומייחס לו את העבירות הבאות: קשירת קשר לסחר בסם מסוכן, לפי סעיף 13 + 19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973 (להלן: ""הפקודה""), יחד עם סעיף 499(א)(1) לחוק העונשין, התשל""ז-1977 (להן: ""החוק""); רכישת נשק, לפי סעיף 144(א) רישא לחוק; נשיאה והובלת נשק, לפי סעיף 144(ב) רישא לחוק.",רקע,עובדות המקרה
2,ME-16-01-189-123,הסדר הטיעון לא כלל הסכמה לעניין העונש שיוטל על הנאשם.,רקע,עובדות המקרה
3,ME-16-01-189-123,"בהתאם לעובדות האישום הראשון, עובר ליום 10.12.2015, קשר הנאשם קשר לסחור בסם מסוג אקסטזי, עם אדם בשם הילאל שזהותו אינה ידועה. הנאשם ביקש לקנות מאותו הילאל 20-30 כדורי אקסטזי. הילאל אמר לנאשם כי ימכור לו כל כדור ב-50 ₪, אך אם יקנה 100 כדורים, ימכור לו כל כדור ב-35 ₪.",כתב-האישום המתוקן,עובדות המקרה
4,ME-16-01-189-123,"בהתאם לעובדות האישום השני, ביום 13.12.2015 נסע הנאשם ברכבו דרך מחסום ""תאנים"" לטול-כרם. לאחר שהגיע לטול-כרם, קנה הנאשם נשק מסוג תת-מקלע מאולתר ""קרלו"", מחסנית ריקה תואמת, וקופסת תחמושת המכילה 50 כדורים מסוג 9 מ""מ. הנאשם החביא את הנשק והתחמושת בתוך דפנות הדלת הימנית הקדמית ברכב.",כתב-האישום המתוקן,עובדות המקרה
5,ME-16-01-189-123,"בהמשך, בשעה 21:25, נסע הנאשם חזרה אל המחסום על-מנת להיכנס לשטח מדינת ישראל, ושם נעצר על-ידי שוטרים שערכו חיפוש ברכב ומצאו את הנשק והתחמושת.",כתב-האישום המתוקן,עובדות המקרה
6,ME-16-01-189-123,"במסגרת הטיעונים לעונש העיד מטעם ההגנה אחיו הבכור של הנאשם, מר וליד זידאן. האח סיפר כי משפחתו הינה משפחה נורמטיבית, וכי מעצרו של הנאשם פגע בבני המשפחה ובייחוד בהוריו, אשר מאז המעצר התדרדר מצבם הבריאותי. הוא מסר כי בני המשפחה המורחבת מתכוונים לסייע לנאשם להתגבר על בעיותיו.",הראיות לעונש,ראיות לעונש
7,ME-16-01-189-123,"המאשימה הגישה את גיליון הרישום הפלילי של הנאשם (ע/1), ממנו עולה כי לנאשם ארבע הרשעות ישנות בעבירות רכוש, מהשנים 1993-2002, בגינן נידון למאסרים מותנים ולקנסות.",הראיות לעונש,ראיות לעונש
8,ME-16-01-189-123,"ב""כ המאשימה טען כי מתחם העונש ההולם את האישום הראשון נע בין מספר חודשי מאסר בפועל ועד 12 חודשי מאסר בפועל. מתחם העונש ההולם את האישום השני נע בין 30 ל-54 חודשי מאסר בפועל.",טיעוני הצדדים לעונש,טיעוני הצדדים
9,ME-16-01-189-123,"נטען כי עבירות הנשק הפכו מכת מדינה, ובהתאם לכך נקבע בפסיקה הצורך בהחמרת הענישה ובהתרעה. המאשימה הפנתה למספר פסקי-דין בעניין זה, וטענה כי בענייננו מדובר במקרה חמור אשר כלל הן רכישה של נשק בשטחי הרשות הפלסטינית והן הובלתו ונשיאתו.",טיעוני הצדדים לעונש,טיעוני הצדדים
10,ME-16-01-189-123,"הנאשם הודה ולקח אחריות על מעשיו, אך מדובר במי שנתפס בכף, והיו ראיות טובות להרשעתו. לנאשם עבר פלילי ישן אמנם, אך אין להשוותו למי שזוהי הרשעתו הראשונה. בשים לב לנסיבות אלה, עותרת המאשימה לגזור על הנאשם עונש מאסר המצוי בשליש העליון של מתחם הענישה לו טענה, וכן מאסר מותנה וקנס. כמו כן עותרת המאשימה לחלט את רכבו של הנאשם, אשר שימש לביצוע עבירות הנשק.",טיעוני הצדדים לעונש,טיעוני הצדדים
11,ME-16-01-189-123,"ב""כ הנאשם טען כי מתחם העונש ההולם את עבירות הנשק נע בין 10 ל-24 חודשי מאסר בפועל. נטען כי ההחמרה בעבירות הנשק צריכה להיעשות בהדרגתיות. הנשק שנתפס בענייננו, הוא נשק שפוטנציאל הסיכון שלו נמוך ביחס לנשקים אחרים. בהתאם לעדות הנאשם, מטרת החזקת הנשק הייתה ציד ארנבות.",טיעוני הצדדים לעונש,טיעוני הצדדים
12,ME-16-01-189-123,"אשר לעבירת קשירת הקשר לסחר בסם, הנאשם יצר קשר עם אחר וביקש ממנו להשיג לו מספר כדורים. מתחם הענישה בגין מעשים אלו נע בין מאסר מותנה לחודשיים מאסר בעבודות שירות.",טיעוני הצדדים לעונש,טיעוני הצדדים
13,ME-16-01-189-123,"נטען כי הנאשם כבן 40, נשוי ללא ילדים. קודם למעצרו ניהל אורח חיים נורמטיבי, החזיק בעסק של פחחות וצבע, וכן היה בעלים של מוסך. ברקע לביצוע המעשים, משבר נפשי קשה אליו נקלע הנאשם, לאחר שהתברר כי לא יוכל להביא ילדים לעולם, לאחר 16 שנות נישואין וניסיונות רבים. בעקבות מצבו הנפשי התדרדר גם מצבו הכלכלי, והעסק שניהל קרס ונסגר. הנאשם חבר לגורמים עברייניים שוליים, אשר גררו אותו לביצוע המעשים.",טיעוני הצדדים לעונש,טיעוני הצדדים
14,ME-16-01-189-123,"נטען כי לנאשם עבר פלילי, אך מדובר בעבירות ישנות, ועל כן אין להביא זאת כשיקול לחומרא. משנת 2002 ועד למעצרו, הנאשם לא הסתבך בפלילים, ולמעשה פתח דף חדש בחייו.",טיעוני הצדדים לעונש,טיעוני הצדדים
15,ME-16-01-189-123,"הנאשם נתון במעצר חודשים ארוכים, וחש מצוקה של ממש. הוא הפיק לקחים מההליך המשפטי נגדו, ומתחייב שלא לחזור ולבצע עבירות. בשים לב לשיקולים לקולא, עותרת ההגנה לגזור על הנאשם מאסר ברף הנמוך של המתחם- 10 חודשים, וכן מאסר מותנה והתחייבות להימנע מעבירה. ההגנה טענה כי שווי הרכב אינו עולה על 15,000 ₪, אך לא התנגדה לחילוטו.",טיעוני הצדדים לעונש,טיעוני הצדדים
16,ME-16-01-189-123,"הנאשם הגיש דבריו בכתב (ע/2). הוא הביע צער רב על המעשים שביצע, והסביר כי הם נבעו מהמצוקה שחש בשל נסיבותיו המשפחתיות. הוא ביקש הזדמנות לתקן את דרכיו.",טיעוני הצדדים לעונש,טיעוני הצדדים
17,ME-16-01-189-123,"הנאשם הורשע בשני אישומים, הנבדלים זה מזה בזמן ובמקום וכן בסוג העבירות. בהתאם למבחנים שנקבעו בפסיקה, מדובר בשני אירועים שונים, ועל כן יש לקבוע מתחם עונש הולם לכל אחד מהאישומים בנפרד.",מתחם העונש ההולם,דיון והכרעה
