part_number,verdict,text,part,predicted_category
1,ME-13-01-33745-668,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973",nothing,מידע אחר
2,ME-13-01-33745-668,"הנאשמת ילידת 1971, אזרחית ברזיל שמקום מגורי הקבע שלה בבוליביה, נותנת את הדין בעבירות של קשירת קשר לביצוע פשע, יבוא, מסחר ואספקת סמים והחזקת סמים שלא לשימוש עצמי.",רקע,עובדות המקרה
3,ME-13-01-33745-668,"הנאשמת שימשה כבלדרית להבאת כמות של כ-4 ק""ג של סם מסוכן מסוג קוקאין אשר הוטמן בתחתית כפולה במזוודתה. היא נשכרה למלאכת הבלדרות בסאן-פאולו שבברזיל בידי אדם שכינויו ""פרננדו"" וזהותו אינה ידועה. פרננדו הבטיח לנאשמת תמורה של 10,000 דולר אם תיקח איתה את הסמים (לדבריה סמים במשקל 3 ק""ג) ותעביר אותם לידע מסוים בישראל.",רקע,עובדות המקרה
4,ME-13-01-33745-668,"ביום 11.1.13 לפנות בוקר נחתה הנאשמת בנתב""ג בטיסה שהגיעה מברזיל דרך איסטנבול. בבדיקת המזוודה שלה נמצאו סמים ארוזים באריזות ניילון, עטופות בנייר העתקה (קופי). בחיפוש על גופה נמצאו 905 דולרים ומטבע ברזילאי בערך מועט ביותר. לדברי הנאשמת 700 דולר מתוך הסכום הזה ניתנו לה מידי פרננדו כדי שיספקו את צרכיה עד שתעביר את הסם ליעדו.",רקע,עובדות המקרה
5,ME-13-01-33745-668,הנאשמת הודתה מיד באחריותה להעברת הסמים. היא הסכימה לשתף פעולה עם המשטרה ולהתנהג על פי הדרכת המשטרה כאילו לא התגלו הסמים ברשותה. הכל במגמה למצוא את היעד שאליו היו הסמים אמורים להגיע. הדבר לא צלח.,רקע,עובדות המקרה
6,ME-13-01-33745-668,הנאשמת הודתה באשמה גם בבית המשפט והיא נכונה לשאת בעונש.,רקע,עובדות המקרה
7,ME-13-01-33745-668,"הנאשמת נשואה ולה ארבעה ילדים קטינים. היא התגוררה בבוליביה שזו ארץ הנתינות של בעלה ושם גם חיים ילדיה. הבעל לפי הטענה הוא אדם אלים שהזניח את חובותיו למשפחה ואינו מגלה יחס ראוי לילדים. בנסיבות אלה המשפחה חיה בבוליביה בעוני מנוול. הנאשמת עברה חזרה לברזיל, כדי למצוא תעסוקה ולפרנס את משפחתה שנשארה בבוליביה.",רקע,עובדות המקרה
8,ME-13-01-33745-668,"לטענת הסנגורית הנאשמת חסרת כל המשפחה מתגוררת באזור נכשל ביותר. קשה ליצור קשר עם המשפחה, הנאשמת נמצאת בניתוק מילדיה כבר זמן רב והדבר קשה לה ביותר וקשה להם עוד יותר. הסנגורית נעזרה בשירותים של גורמים בשגרירות בוליביה בישראל וגורמים מסיונריים כדי לסייע מעט לנאשמת, אולם הדבר כרוך בקשיים מרובים.",רקע,עובדות המקרה
9,ME-13-01-33745-668,"ב""כ המאשימה, עו""ד ניצן שפיר, טוענת שמתחם הענישה הראוי נע בין 5 ל-7 שנות מאסר בפועל. היא מסתמכת על פסיקת בית המשפט העליון (למשל ע""פ 3920/00 שבו הוטלו 6 שנות מאסר על שתי אזרחיות קולומביה שהעבירו קילו וחצי קוקאין לישראל; ע""פ 3625/11 שבו נדונה בלדרית מארגנטינה ל-45 חודשי מאסר בשל הבאת קילוגרם קוקאין וע""פ 10192/09 – 5 שנות מאסר בגין הבאת כחצי קילו קוקאין מברזיל).",רקע,טיעוני הצדדים
10,ME-13-01-33745-668,"ב""כ המאשימה סומכת יתדותיה בפסיקת בית המשפט העליון האומרת שיש להענישה בענישה מחמירה גם בלדרי סמים נוכח חלקם המהותי במה שמכונה ""שרשרת הסם"", שהרי בלדרים הם חוליה חשובה באותה שרשרת. בלעדיה לא יקרום תהליך ההברחה עור וגידים (ראו שוב ע""פ 3920/00).",רקע,טיעוני הצדדים
11,ME-13-01-33745-668,"ברוב המקרים, כך אומרת ב""כ המאשימה, הבלדרים הם אנשים עניים הסובלים ממצוקות חברתיות וכלכליות שונות. רק בשל עוניים ניתן לפתות אותם ליטול חלק בתהליך עברייני חמור כל כך. אי אפשר שהמצב הכלכלי או הניתוק מן המשפחה ישמש כגורם מספיק כדי להחריג את העונש ממתחם העונש הראוי. שכן ענישה בלתי ראויה תהיה כשמן להוסיף על תבערת הסמים.",רקע,טיעוני הצדדים
