part_number,verdict,text,part,predicted_category
1,ME-16-10-12213-904,"מוחמד ג'בארין, הנאשם שלפניי, הורשע על-סמך הודאתו, בעבירה של נשיאת נשק ותחמושת בניגוד לסעיף 144(ב) רישה וסיפה לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין"").",כללי,עובדות המקרה
2,ME-16-10-12213-904,"עובדות כתב האישום המתוקן, שבביצוען הודה הנאשם היו אלו:",כללי,עובדות המקרה
3,ME-16-10-12213-904,"הנאשם החזיק ברשותו ברכב מסוג סובארו, אשר היה רשום על-שם אחיו, מג'ד (להלן: ""הרכב"").",כללי,עובדות המקרה
4,ME-16-10-12213-904,"במהלך חודש ספטמבר 16', נשא והוביל הנאשם כלי נשק מאולתר מסוג ""קרל גוסטב"", שבתוכו מחסנית ריקה, מאזור מי-עמי ועד לבית אמו באום-אל-פחם, בו התגורר באותה עת (להלן: ""הבית""). בהגיעו לבית, עטף הנאשם  בחולצה לבנה את הנשק והמחסנית הריקה  והחביאם  מתחת לכיסא הנוסע שליד הנהג  ברכב, שחנה בסמוך לבית.",כללי,עובדות המקרה
5,ME-16-10-12213-904,"ביום 1 אוקטובר 16' בשעת אחר-צהריים, הזיז הנאשם את הרכב מפאת היותו בלתי תקין מאזור הבית ועד למוסך במורד הרחוב, כאשר כלי-הנשק והמחסנית הריקה מצויים בתוכו וכשבמכנסיו מצוי כדור 9 מ""מ התואם את הנשק. שוטרים, אשר הגיעו למקום וביצעו חיפוש ברכב מצאו בו את כלי-הנשק ואת המחסנית.",כללי,עובדות המקרה
6,ME-16-10-12213-904,"בעניינו של הנאשם התבקש שירות המבחן להכין תסקיר לעניין העונש. תסקיר זה הוכן וביום 25.1.17 הוגש לעיוני. ממנו למדתי, כי הנאשם הוא בן 25, רווק המתגורר עם בני-משפחתו באום אל-פחם ועובד בעבודות בניין ובשיפוצים. עלה עוד, כי הוא עזב את ספסל הלימודים לאחר 10 שנות לימוד בלבד על מנת לפרנס את בני משפחתו ולדאוג לאחיו. מאז ועד היום הוא שומר על יציבות תעסוקתית (במקומות תעסוקה שונים). אביו של הנאשם נפטר ממחלה עוד בהיותו בן 8 שנים. הרישום הפלילי שאותו הוא נושא בגין תקיפה עניינו באירוע אלים שהתפתח בינו לבין אחיו.",תסקיר שירות המבחן,תסקיר שירות מבחן
7,ME-16-10-12213-904,"בפני שירות המבחן נטל הנאשם אחריות חלקית על המעשים שיוחסו לו בכתב האישום; בפרט, הוא שלל את הטענה שהסיע את הרכב ממי-עמי לביתו באום אל פחם.",תסקיר שירות המבחן,תסקיר שירות מבחן
8,ME-16-10-12213-904,"ראוי לציין, שבמסגרת דיון הטיעונים לעונש שנערך לפניי, נשאל הנאשם במפורש אם הוא מודה בכל המיוחס לו. הוא שב ואישר את כל העובדות שנכללו בכתב האישום ככתבן וכלשונן.",תסקיר שירות המבחן,תסקיר שירות מבחן
9,ME-16-10-12213-904,הנאשם הביע צער וחרטה באוזני קצינת המבחן והביע נכונות להשתלב בהליך טיפולי לצורך רכישת כלים אדפטיביים לקבלת החלטות מתואמות לסיטואציות מורכבות ולמידת דרכים להתמודדות במצבי לחץ ומשבר.,תסקיר שירות המבחן,תסקיר שירות מבחן
10,ME-16-10-12213-904,"שירות המבחן התרשם כי קיימים יסודות בריאים בהתנהגותו וכי הוא נכון להשתלב בהליך טיפולי; כן התרשם השירות שהנאשם מתקשה להתחבר לחומרת העבירה וכי דיווחיו מגמתיים באשר לנסיבות מעורבותו בה. עוד צוין, כי הנאשם מתקשה בוויסות דחפיו ומתקשה להפעיל שיקול דעת ביחס להשלכות מעשיו ותוצאותיהם.",תסקיר שירות המבחן,תסקיר שירות מבחן
