part_number,verdict,text,part,predicted_category
1,ME-21-06-43085-219,"חוק העונשין, תשל""ז-1977: סע'  144, 144(א), (ב), 340א' (ב)(1), 413ה', 452",nothing,מידע אחר
2,ME-21-06-43085-219,פקודת התעבורה [נוסח חדש]: סע'  10(א),nothing,מידע אחר
3,ME-21-06-43085-219,"פקודת ביטוח רכב מנועי [נוסח חדש], תש""ל-1970: סע'  2(א), (ב)",nothing,מידע אחר
4,ME-21-06-43085-219,"בטרם שמיעת הראיות בתיק הגיעו הצדדים להסדר דיוני במסגרתו כתב האישום שהוגש נגד הנאשם תוקן והנאשם הודה בעובדות כתב האישום המתוקן, שאלה הם עיקריהן:",כללי,עובדות המקרה
5,ME-21-06-43085-219,"בין הנאשם לבין מר עאמר אבו עראר, מנהל בית הספר הטכנולוגי בערוער (להלן: ""המנהל"" ו""בית הספר"") קיימת היכרות מוקדמת וקרבה משפחתית. בתאריך 23.05.21 בסמוך לשעה 11:50 הנאשם נהג ברכב כאשר אין ברשותו ומעולם לא היה לו רישיון נהיגה תקף, ומבלי שיש ברשותו פוליסת ביטוח ברת תוקף לנהיגה, והגיע לבית הספר על מנת להיפגש עם קרובת משפחתו הלומדת בו. בהמשך, הנאשם פגש במנהל והם דיברו ביניהם, ובמהלך השיחה התפתח ביניהם ויכוח והנאשם התעצבן על המנהל. המנהל ליווה את הנאשם לשער בית הספר והנאשם עזב את המקום כשהוא נוהג ברכב. בהמשך לכך, בסמוך לשעה 12:50, הנאשם הגיע לבית הספר, ברכב, כשהוא נושא עמו נשק ללא היתר כדין, יצא מהרכב, התקדם מספר צעדים והחל לירות באמצעות הנשק לכיוון רכבו של המנהל, אשר חנה בצמוד לקרוואן. באותה העת שהו בקרוואן שומר בית הספר ושניים נוספים, ובחצר בית הספר נכחו אנשים נוספים. כתוצאה מהירי של הנאשם, רכבו של המנהל נפגע ממספר כדורים בקוטר  9 מ""מ, וכדור אחד חדר לקרוואן ופגע בארון בתוך הקרוואן.",כללי,עובדות המקרה
6,ME-21-06-43085-219,"על יסוד הודאת הנאשם בעובדות כאמור, הוא הורשע בעבירות נשק (החזקה ונשיאת נשק ותחמושת), לפי סעיף 144(א) ו - (ב) רישא וסיפא בחוק העונשין התשל""ז – 1977 (להלן: ""חוק העונשין""); ירי מנשק חם, לפי סעיף 340א' (ב)(1) בחוק העונשין; היזק בזדון, לפי סעיף 452 בחוק העונשין; חבלה במזיד, לפי סעיף 413ה' בחוק העונשין; נהיגה ללא רישיון נהיגה, לפי סעיף 10(א) בפקודת התעבורה, התשכ""א – 1961; ונהיגה ללא פוליסת ביטוח בתוקף, לפי סעיף 2(א) ו – (ב) בפקודת ביטוח רכב מנועי [נוסח משולב] תש""ל – 1970.",כללי,עובדות המקרה
7,ME-21-06-43085-219,"הנאשם יליד שנת 2001, ובנסיבות חובה לקבל עליו תסקיר של שירות המבחן.",כללי,עובדות המקרה
8,ME-21-06-43085-219,בתסקיר שירות המבחן על הנאשם צוין שהוא בן 21. רווק. ללא עבר פלילי. טרם מעצרו עבד בשיפוצים. אביו נפטר לפני 5 שנים ממחלה. אמו אינה בריאה. תיאר את פטירת אביו כטראומתית וציין שנאלץ ליטול את תפקיד האב ולפרנס את משפחתו. הנאשם תיאר מצב כלכלי קשה וסיפר שלאחר מות אביו התמודד עם קושי נפשי ורגשי. טופל אצל פסיכיאטר וצרך תרופות ואחר כך טופל אצל שיח' והתופעות פסקו.,תסקיר שירות המבחן,תסקיר שירות מבחן
9,ME-21-06-43085-219,"ביחס לעבירה, לקח אחריות על ביצועה. תיאר כי ארוסתו התקשרה אליו ומסרה לו שמנהל בית הספר ניסה לפגוע בה ובעקבות כך חש סערת רגשות קיצונית והתקשה לשלוט בכעסו. נכנס לרכב שאינו שלו ונסע במהירות לבית הספר. כאשר מנהל בית הספר לא  אישר לארוסתו לצאת, לקח נשק שהיה בתוך הרכב, שגם הוא אינו שייך לו, וירה כמתואר. הביע בושה ותיאר שמדובר בטעות קטנה. שירות המבחן ציין שהנאשם משתתף מזה שלושה חודשים בקבוצה טיפולית בבית הסוהר. הנאשם שיתף שהטיפול מסייע לו והביע נכונות להמשיך בטיפול גם לאחר שחרורו.",תסקיר שירות המבחן,תסקיר שירות מבחן
10,ME-21-06-43085-219,"שירות המבחן סקר את הנתונים שבפניו, ציין כי לאורך חייו הנאשם תפקד באופן נורמטיבי, ונקודת התפנית החלה לאחר מות אביו. וציין כי למרות לקיחת האחריות ורצונו בטיפול, עדיין קיים קושי בהפנמת האחריות למעשיו. שירות המבחן העריך שמעשי הנאשם עשויים להצביע על בעיה בשיקול הדעת ובוחן המציאות וייתכן שהדבר דורש אבחון וטיפול פסיכיאטרים. המליץ להפנות את הנאשם להסתכלות בתחום בריאות הנפש וציין שהדבר חשוב גם להערכת מסוכנות להישנות התנהגות דומה בעתיד.",תסקיר שירות המבחן,תסקיר שירות מבחן
