part_number,verdict,text,part,predicted_category
1,SH-24-01-26596-264,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), (ג), 13, 19א, 37א(א)",nothing,מידע אחר
2,SH-24-01-26596-264,"חוק העונשין, תשל""ז-1977: סע'  40",nothing,מידע אחר
3,SH-24-01-26596-264,פקודת התעבורה [נוסח חדש]: סע'  43,nothing,מידע אחר
4,SH-24-01-26596-264,"חוק המאבק בתופעת השימוש בחומרים מסכנים, תשע""ג-2013",nothing,מידע אחר
5,SH-24-01-26596-264,הנאשם שלפני נותן את הדין בגין עבירות כדלקמן:,כתב האישום והסדר הטיעון,עובדות המקרה
6,SH-24-01-26596-264,"סחר בסמים מסוכנים, בניגוד לסעיף 13 ו- 19א לפקודת הסמים המסוכנים [נוסח חדש], תשל""ג – 1973 (שש עבירות);",כתב האישום והסדר הטיעון,עובדות המקרה
7,SH-24-01-26596-264,"אחזקת סם מסוכן שלא לצריכה עצמית, בניגוד לסעיף 7(א) ו-(ג) רישא לפקודה (עבירה אחת).",כתב האישום והסדר הטיעון,עובדות המקרה
8,SH-24-01-26596-264,"בהתאם לעובדות כתב האישום המתוקן כא/1, בהן הורשע הנאשם במסגרת הסדר טיעון, במועדים הרלוונטיים לעובדות כתב האישום, שימש השוטר מקסים שומסקי (להלן: ""הסוכן"") בפעילות כנגד סחר בסמים בעיר ערד (להלן: ""הפעילות"").",כתב האישום והסדר הטיעון,עובדות המקרה
9,SH-24-01-26596-264,"במסגרת הפעילות עשה הסוכן שימוש בטלפון סלולרי מבצעי שמספרו 052-5219530 (להלן: ""הטלפון המבצעי"").",כתב האישום והסדר הטיעון,עובדות המקרה
10,SH-24-01-26596-264,"במועדים הרלוונטיים לכתב האישום, החזיק הנאשם בטלפון סלולרי מסוג גלקסי שמספרו 053-7262975 (להלן: ""הטלפון"").",כתב האישום והסדר הטיעון,עובדות המקרה
11,SH-24-01-26596-264,"בתאריך 28.12.23 בסמוך לשעה 17:11 יצרה השוטרת יפעת בראל (להלן: ""השוטרת יפעת"") קשר באמצעות הטלפון המבצעי באמצעות ישומון הטלגראם דרך קבוצה בשם ""SKOPY"" וביקשה לרכוש ממנו סם מסוכן מסוג קנבוס במשקל של 30 גרם (להלן: ""הסם"") בתמורה ל- 1,000 ₪ (להלן: ""העסקה"").",אישום ראשון,עובדות המקרה
12,SH-24-01-26596-264,"בהמשך למתואר לעיל, וכחלק מתנאי העסקה, שלח הסוכן לנאשם דרך ישומון הטלגראם הודעה עם תמונתו ואמצעי זיהוי כתובת ומיקום לביצוע העסקה.",אישום ראשון,עובדות המקרה
13,SH-24-01-26596-264,"בהמשך לכך, בסמוך לשעה 17:42, הגיע הנאשם לחניית הרכבים ברחוב בן יאיר 24 בעיר ערד (להלן: ""המקום"") כשהוא נוהג ברכב מסוג סקודה אוקטביה ל.ז 56-748-12 (להלן: ""הרכב""), יצר קשר עם הסוכן לחניה ברחוב בן יאיר 24 בערד (להלן: ""המקום""), יצר קשר עם הסוכן כשהתקשר אליו ממספר חסום אל הטלפון המבצעי והכווין אותו להגיע לרכב.",אישום ראשון,עובדות המקרה
14,SH-24-01-26596-264,"מיד לאחר מכן, הסוכן פגש את הנאשם ברכב והנאשם מסר לסוכן סם מסוכן מסוג קנבוס במשקל כולל של 26.94 גרם נטו ובתמורה העביר הסוכן לנאשם כסף מזומן בסך 1,000 ₪, אז אמר הנאשם לסוכן ""אין בעיה אחי, אם אתה צריך עוד דבר איתי, יש לנו חומר איכותי"".",אישום ראשון,עובדות המקרה
15,SH-24-01-26596-264,"בהמשך למתואר לעיל, החל הנאשם בנסיעה לכיוון היציאה מהמקום כשהשוטרים אשר דרך ושחר בובליל (להלן: ""השוטר אשר"" ו- ""השוטר שחר"", יכונו יחדיו, ""השוטרים""), שנסעו בניידת משטרה סמויה, חסמו את נתיב נסיעתו של הנאשם ועצרו אותו.",אישום ראשון,עובדות המקרה
16,SH-24-01-26596-264,"באותן הנסיבות, החזיק הנאשם בדלת הנהג ברכב בשקית שקופה ובה סם מסוכן מסוג קנבוס במשקל כולל של 20.03 גרם, כסף מזומן בסך 600 ₪ וכן ב- 17 כרטיסי סים אשר היו פזורים ברכב.",אישום ראשון,עובדות המקרה
17,SH-24-01-26596-264,"במעשים המתוארים לעיל, סחר הנאשם בסם מסוכן מסוג קנבוס מבלי שקיבל היתר לכך בפקודה או מאת המנהל.",אישום ראשון,עובדות המקרה
18,SH-24-01-26596-264,"עוד במעשיו, החזיק הנאשם סם מסוכן מסוג קנבוס שלא לצריכתו העצמית מבלי שקיבל היתר לכך בפקודה או מאת המנהל.",אישום ראשון,עובדות המקרה
19,SH-24-01-26596-264,אישום שני – נמחק במסגרת הסדר הטיעון.,אישום ראשון,עובדות המקרה
20,SH-24-01-26596-264,"בתאריך 25.12.23 בשעה 18:27 או בסמוך לכך, יצר מר מור שלומי עזרזר (להלן: ""מור"") קשר עם הנאשם באמצעות ישומון הטלגראם דרך קבוצה בשם ""SKOPY"" וביקש לרכוש סם מסוכן (להלן: ""העסקה"").",אישום שלישי,עובדות המקרה
21,SH-24-01-26596-264,"בתגובה ביקשה הנאשם ממור שישלו לו פרטי אימות, טלפון וכתובת לביצוע העסקה.",אישום שלישי,עובדות המקרה
22,SH-24-01-26596-264,"בהמשך למתואר לעיל ולאחר שמור שלח לנאשם צילום רשיון הנהיגה שלו ומיקום למשלוח, בסמוך לשעה 19:40 הגיע הנאשם לרחוב האירוסים 52 בערד והעביר למור 10 גרם של סם מסוכן מסוג קנבוס ובתמורה העביר מור לנאשם כסף מזומן בסך 500 ₪.",אישום שלישי,עובדות המקרה
23,SH-24-01-26596-264,"במעשים המתוארים לעיל, סחר הנאשם בסם מסוכן מבלי שהדבר הותר בפקודה או מאת המנהל.",אישום שלישי,עובדות המקרה
24,SH-24-01-26596-264,"בתאריך 21.12.23 בשעה 20:38 או בסמוך לכך, יצר מר חאלד אבו ניע (להלן: ""חאלד"") קשר עם הנאשם באמצעות ישומון הטלגראם דרך קבוצה בשם ""SKOPY"" וביקש לרכוש סם מסוכן (להלן: ""העסקה"").",אישום רביעי,עובדות המקרה
25,SH-24-01-26596-264,"בתגובה ביקש הנאשם מחאלד שישלח לו פרטי אימות ומספר טלפון וקבעו להיפגש בתחנת הדלק דור אלון בכניסה לעיר ערד (להלן: ""המקום"").",אישום רביעי,עובדות המקרה
