verdict,text,part
ME-16-04-1870-974,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  6, 7.א., 7.ג, 9(א), 10, 36א(ב)",nothing
ME-16-04-1870-974,"חוק העונשין, תשל""ז-1977: סע'  40ד",nothing
ME-16-04-1870-974,"ביום 25.9.17 הורשע הנאשם, על יסוד הודאתו בעובדות כתב האישום המתוקן, בשלוש עבירות של גידול סם מסוכן – עבירה לפי סעיף 6 לפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973 (להלן – ""פקודת הסמים המסוכנים""), בשלוש עבירות של החזקת חצרים – עבירה לפי סעיף 9(א) לפקודת הסמים המסוכנים, בשתי עבירות של החזקת סמים שלא לצריכה עצמית – עבירה לפי סעיף 7(א)+(ג) רישא לפקודת הסמים המסוכנים, ובשתי עבירות של החזקת כלים – עבירה לפי סעיף 10 רישא לפקודת הסמים המסוכנים.",1.	הכרעת הדין
ME-16-04-1870-974,"כתב האישום המתוקן בו הורשע הנאשם כולל שני אישומים, כמפורט להלן;",1.	הכרעת הדין
ME-16-04-1870-974,"במסגרת האישום הראשון נטען כי במהלך שנת 2015 קשר הנאשם קשר עם אחיינו למצוא מקום שבו יוכלו השניים לגדל, לייצר ולהפיק סם מסוכן מסוג קנאביס. לצורך מימוש הקשר שכרו השניים, ביום 28.5.15, דירה וכן רכשו ציוד לרבות מנורות חשמל, חוטי קשירה, ציוד לאוורור וחומרי השרשה. בהמשך לאמור השניים שתלו בדירה מאות שתילים של קנאביס וגידלו אותם במשך מספר חודשים. השתילים הוצאו מהדירה על-ידי הנאשם בנסיבות שאינן ידועות במדויק למאשימה. ביום 21.3.16 פשטה המשטרה על הדירה ותפסה בה סם מסוכן מסוג קנאביס במשקל כולל של 16.8 גרם.",1.	הכרעת הדין
ME-16-04-1870-974,"במסגרת האישום השני (שבכתב האישום המקורי הופיע כאישום השלישי), נטען כי בתחילת שנת 2016 פנה אחיינו של הנאשם אל הנאשם והציע לו לחדש את הקשר העברייני ביניהם ולגדל, לייצר ולהפיק שוב סם מסוכן מסוג קנאביס. הנאשם הסכים להצעה ולצורך מימוש הקשר שכר הנאשם יחידת דיור הצמודה לביתו. ביום 2.2.16 העביר הנאשם לדירה את הציוד שרכש בתקופה הרלוונטית לאישום הראשון, ויחד עם אחיינו שתלו השניים לפחות 201 שתילים של קנאביס וגידלו אותם עד שהמשטרה פשטה על הדירה ביום 21.3.16. בזמן פשיטת המשטרה נערך חיפוש בביתו של הנאשם, במהלכו נתפס בבית הנאשם סם מסוכן מסוג קנאביס במשקל כולל של 34.28 גרם, וכן משקלים אלקטרוניים.",1.	הכרעת הדין
ME-16-04-1870-974,"כאמור, הנאשם הודה בעובדות כתב האישום המתוקן והורשע בעבירות הנ""ל. במסגרת הסדר הטיעון הוסכם כי המאשימה תבקש מבית המשפט להטיל על הנאשם עונש של 12 חודשי מאסר, מאסר על תנאי וקנס, וכי הנאשם יהיה חופשי בטיעוניו לעונש. כמו כן הוסכם, כי המאשימה תבקש מבית המשפט לקבוע כי הנאשם הוא סוחר סמים, ועוד הוסכם שיחולט סך של 10,000 ₪ אשר הפקיד הנאשם בקופת בית המשפט במסגרת ההליכים המקדמיים בתיק. ולבסוף הוסכם, כי הצדדים לא יחרגו בטיעוניהם מהעובדות שבכתב האישום המתוקן.",1.	הכרעת הדין
ME-16-04-1870-974,לבקשת הנאשם ובהעדר התנגדות מטעם המאשימה התבקש שירות המבחן לערוך תסקיר בעניינו של הנאשם.,4.	תסקיר שירות המבחן
ME-16-04-1870-974,"בתסקיר מיום 5.2.18 מציין שירות המבחן כי עד גיל 30 ניהל הנאשם אורח חיים נורמטיבי לרבות סיום של 12 שנות לימוד ושירות צבאי מלא. בגיל 30 החל הנאשם להשתמש בסמים ועד מהירה הפך השימוש ליום יומי. במהלך מעצר הבית שבו היה נתון הנאשם במסגרת ההליך הנוכחי הוא יצר קשר עם יחידת של""מ וביקש לקבל טיפול גמילה. הנאשם נמצא בטיפול מאז חודש נובמבר 2016 ולדברי שירות המבחן כל הבדיקות שנערכו לו לצורך איתור שרידי סמים העידו על ניקיון מסמים. שירות המבחן מציין כי הנאשם השתתף בטיפול קבוצתי ופרטני, וכי השתלבותו בטיפול זה הייתה חיובית תוך שהנאשם מגלה מוטיבציה מתוך הבנה של הנאשם כי ההליך הטיפולי הוא גורם שיכול לתרום לו ולסייע לו לערוך שינוי בחייו. שירות המבחן התרשם כי הנאשם מבין את חומרת מעשיו ומצטער עליהם, וכי במסגרת ההליך הטיפולי למד הנאשם להכיר את הצדדים הפחות מתפקדים בחייו ולערוך בהם שינוי.",4.	תסקיר שירות המבחן
ME-16-04-1870-974,"לעניין הערכת הסיכון מציין שירות המבחן כגורם סיכון את העובדה שהנאשם צרך סמים באופן יום יומי במשך 30 שנה. מנגד שירות המבחן מציין כגורמים מצמצמי סיכון את העובדה שהנאשם הצליח לאורך השנים להפעיל עסק עצמאי ולנהל חיי משפחה תקינים. כמו כן, מציין שירות המבחן כגורם מצמצם סיכון את ההליך הטיפולי המשמעותי שעבר הנאשם עד כה ושבו הוא עתיד להמשיך אף לאחר מתן גזר הדין. שירות המבחן התרשם כי ההליך המשפטי, שהוא ההליך הפלילי הראשון בחייו של הנאשם, מהווה גורם הרתעתי עבורו.",4.	תסקיר שירות המבחן
ME-16-04-1870-974,"אשר על כן, ממליץ שירות המבחן שלא להטיל על הנאשם עונש של מאסר, אשר עלול לחבל בשיקומו. שירות המבחן ממליץ להטיל על הנאשם עונש מאסר לריצוי בעבודות שירות לצד עונש מאסר מותנה וקנס. כמו כן, ממליץ שירות המבחן להטיל על הנאשם צו מבחן למשך שנה כדי להבטיח שימשיך את הטיפול ביחידת של""מ.",4.	תסקיר שירות המבחן
ME-16-04-1870-974,"שירות המבחן הגיש תסקיר משלים ביום 3.6.18, בו הוא שב על המלצתו להטלת עונש של מאסר לריצוי בעבודות שירות, וכמו כן התקבלה חוות דעת של הממונה על עבודות השירות, מיום 28.6.18, לפיה הממונה מצא את הנאשם מתאים לביצוע עבודות שירות.",4.	תסקיר שירות המבחן
