verdict,text,part
SH-14-03-15455-331,"חוק העונשין, תשל""ז-1977: סע'  192, 379, 382 (ב)",בפני: כב' השופטת נגה שמואלי-מאייר
SH-14-03-15455-331,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג",בפני: כב' השופטת נגה שמואלי-מאייר
SH-14-03-15455-331,"ב""כ המאשימה עו""ד –שגית שלו",נוכחים:
SH-14-03-15455-331,"הנאשם ובא כוחו עו""ד –חנן אסולין",נוכחים:
SH-14-03-15455-331,"הנאשם הודה במסגרת הסדר טיעון בכתב אישום מתוקן, המייחס לו עבירה של איומים בשתי הזדמנויות שונות לפי סעיף 192 לחוק העונשין, התשל""ז–1977.",גזר דין ללא הרשעה
SH-14-03-15455-331,"הנאשם צירף שני תיקים נוספים, האחד, ת""פ 16293-06-13 במסגרתו הודה בכתב אישום המייחס לו עבירה של החזקת סם לצריכה עצמית לפי סעיף 7(א)+(ג) סיפא לפקודת הסמים המסוכנים [נוסח חדש] תשל""ג- 1973.",גזר דין ללא הרשעה
SH-14-03-15455-331,"השני, ת""פ 24105-11-13 במסגרתו הודה בכתב אישום מתוקן בעבירות של תקיפת בת זוג ואיומים לפי סעיפים 382 (ב), 379 ו- 192 לחוק העונשין, התשל""ז–1977.",גזר דין ללא הרשעה
SH-14-03-15455-331,"במסגרת ההסדר הוסכם כי הצדדים יעתרו במשותף לכך שהנאשם לא יורשע, ויוטלו עליו עונשים של של""צ ויחתום על התחייבות להימנע מביצוע עבירה.",גזר דין ללא הרשעה
SH-14-03-15455-331,"בהתחשב בהודאת הנאשם, שיש בה משום קבלת אחריות וחסכון בזמן שיפוטי; וכן בהתחשב בעובדה שהנאשם נעדר עבר פלילי, בשים לב לתיקונים המשמעותיים בכתב האישום, לחלוף הזמן, בשים לב להמלצתו החיובית של שירות המבחן, ובשים לב לעמדת המאשימה, האמונה על האינטרס הציבורי, בשאלת ההרשעה, אני מוצאת לנכון לכבד את ההסדר.",גזר דין ללא הרשעה
SH-14-03-15455-331,"אשר על כן, אני נמנעת מלהרשיע את הנאשם וגוזרת עליו את העונשים הבאים:",גזר דין ללא הרשעה
SH-14-03-15455-331,"הנאשם יחתום על התחייבות כספית על סך 5,000 ₪ שלא לעבור עבירה מן העבירות בהן הודה לתקופה של שנה מהיום. אם לא תיחתם ההתחייבות תוך 7 ימים, ייאסר הנאשם למשך 10 ימים.",גזר דין ללא הרשעה
SH-14-03-15455-331,"ניתן בזאת צו של""צ בהיקף של  200 שעות.",גזר דין ללא הרשעה
SH-14-03-15455-331,"הובהרה לנאשם חשיבות שיתוף הפעולה עם שירות המבחן בביצוע עבודות השל""צ ומשמעות היעדר שיתוף הפעולה.",גזר דין ללא הרשעה
SH-14-03-15455-331,העבודות תבוצענה בקרן לפיתוח שדרות בתפקיד כללי לפי צרכי המקום.,גזר דין ללא הרשעה
SH-14-03-15455-331,"שימת לב שירות המבחן לעתירתו של הנאשם לפרוס את תקופת ביצוע עבודות השל""צ על פני תקופה ארוכה יותר על פני זו שנקבעה עימו וזאת לאור מחויבותו למקום העבודה.",העתק מגזר הדין בדחיפות לשירות המבחן. 
SH-14-03-15455-331,ג. 	ניתן בזאת צו מבחן של שירות המבחן למשך שנה מהיום.,העתק מגזר הדין בדחיפות לשירות המבחן. 
SH-14-03-15455-331,"ניתן בזאת צו להשמדת המוצג - סמים, בכפוף לחלוף תקופת הערעור.",העתק מגזר הדין בדחיפות לשירות המבחן. 
