verdict,text,part
ME-22-03-6944-166,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג, 13.א, 19",nothing
ME-22-03-6944-166,"חוק העונשין, תשל""ז-1977: סע'  40ח",nothing
ME-22-03-6944-166,"הנאשם הורשע על-פי הודאתו, במסגרת הסדר טיעון, בכתב אישום מתוקן בביצוע עבירות של ייבוא סם מסוכן והחזקת סם מסוכן שלא לצריכה עצמית, עבירות לפי סעיפים 19+13(א) ו-7(א)+(ג) רישא לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג – 1973 (להלן: פקודת הסמים"").",	מבוא
ME-22-03-6944-166,"במסגרת ההסדר לא הושגה הסכמה עונשית בין הצדדים, וכל צד טען לעונש באופן חופשי.",	מבוא
ME-22-03-6944-166,"מעובדות כתב האישום המתוקן עולה כי במועדים הרלוונטיים לכתב האישום הנאשם, שהוא אזרח תאילנד, שהה בישראל עם אשרת עבודה בענף החקלאות, ועבד במשק במושב אביגדור אצל מעסיקו (להלן: ""המשק"" וה""מעסיק""), והתגורר שם ביחידת דיור (להלן: ""יחידת הדיור"").",	כתב אישום
ME-22-03-6944-166,"במועד שאינו ידוע במדויק למאשימה, עובר ליום 11.1.2022, חב הנאשם כלפי אדם שזהותו אינה ידועה במדויק למאשימה (להלן: ""האחר"") חוב כספי בסך של 20,000 ₪ שמקורו בצריכת סמים בהקפה.",	כתב אישום
ME-22-03-6944-166,"בתמורה למחיקת החוב, הוסכם בין האחר לבין הנאשם כי הנאשם יקבל מתאילנד לכתובתו סם מסוכן מסוג מתאמפטאמין, ואדם מטעמו של האחר יגיע אל הנאשם ויאסוף את הסם.",	כתב אישום
ME-22-03-6944-166,"בהמשך לאמור, ובהתאם למוסכם בין הנאשם לבין האחר, ביום 11.01.2022 או בסמוך לכך, נשלחה אל הנאשם מתאילנד לארץ באמצעות דואר ישראל, חבילה שהכילה סם מסוכן מסוג מתאמפטאמין, במשקל 914.44 גרם נטו שהוסלק בתוך 45 אריזות מפלסטיק שנחזו להיראות כאריזות המכילות אבקת משקה (להלן: ""חבילת הסם""). על גבי חבילת הסם צוין כי היא מיועדת לאחר במושב אביגדור. חבילת הסם אותרה על-ידי חוקרי המכס והועברה לטיפול משטרת ישראל.",	כתב אישום
ME-22-03-6944-166,"הנאשם שלא ידע על תפיסת חבילת הסם על-ידי המשטרה, עקב אחריה באמצעות אתר דואר ישראל. בהמשך למתואר, ביום 16.2.2022 בשעה 16:30 או בסמוך לכך, ובהתאם להנחיית המשטרה, שלח המעסיק לנאשם צילום של חבילת הסם באמצעות הודעת ""וואטסאפ"" ושאל אותו האם החבילה שלו. הנאשם השיב בחיוב והשניים סיכמו כי המעסיק ימסור לנאשם את החבילה במשק.",	כתב אישום
ME-22-03-6944-166,"מיד לאחר מכן, בשעה 17:30 או בסמוך לכך, במסגרת פעילות משטרתית, הגיע אל המשק שוטר  במסווה של שליח דואר, כשברשותו חבילת הסם, ופגש בנאשם שהמתין שם.",	כתב אישום
ME-22-03-6944-166,"השוטר פנה אל הנאשם ושאל אותו האם שמו הוא השם המופיע על גבי חבילת הסם. הנאשם השיב כי החבילה היא עבורו, ונעצר על-ידי השוטר.",	כתב אישום
ME-22-03-6944-166,"כמו כן, במועד האמור, החזיק הנאשם ברשותו בחבילת סם נוספת שהכילה סם מסוכן מסוג מתאמפטאמין במשקל 3544.86 גרם נטו, שהוסלק בתוך 134 אריזות מפלסטיק שנחזו להיראות כאריזות המכילות אבקת משקה, עבור אדם אחר שזהותו אינה ידועה למאשימה.",	כתב אישום
