verdict,text,part,mapped_category
ME-21-12-42162-424,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(א), (ג), 13, 19א",nothing,מידע אחר
ME-21-12-42162-424,"חוק העונשין, תשל""ז-1977: סע'  25, 40ד (א), 499(א)(1)",nothing,מידע אחר
ME-21-12-42162-424,"הנאשם הורשע על פי הודאתו ובמסגרת הסדר טיעון בעובדות כתב האישום המתוקן שעניינן עבירות של ניסיון לייבוא סם מסוכן – עבירה לפי סעיף 13 לפקודת הסמים המסוכנים [נוסח חדש] התשל""ג-1973 (להלן: ""הפקודה"") והחזקת סם מסוכן שלא לצריכה עצמית – עבירה לפי סעיף 7(א) ו-(ג) לפקודה.",גזר דין,עובדות המקרה
ME-21-12-42162-424,"כארבעה חודשים עובר למועדים הרלוונטיים לעובדות כתב האישום, היה שרוי מאי חיים לוי אדרי (להלן: ""מאי""), יליד שנת 2001, במצוקה כלכלית. בתחילת התקופה פנה הנאשם אליו שעה שהיה מודע למצוקתו הכלכלית של מאי וללא היכרות מוקדמת, והציע לו לבצע בעבורו משימות תמורת תשלום.",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"קולט מנג'ם היא אזרחית ישראלית, ילידת 1988, ואין בינה לבין הנאשם היכרות מוקדמת.",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"במועד שאינו ידוע למאשימה, עובר לתאריך 3.11.2021, הזמין הנאשם מאחר, שזהותו אינה ידועה למאשימה, סמים מסוכנים מסוג קטמין במשקל 2,331 גרם נטו (להלן: ""הסמים"") שיישלחו מגרמניה אל ישראל עבורו. על מנת להתל ברשויות האכיפה, הורה הנאשם לאחר כי על החבילה יצוין שמה של קולט, זאת ללא הסכמתה, והחבילה תישלח אל כתובת ברמת השרון בה לא מתגוררים הנאשם או קולט.",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"במועד שאינו ידוע למאשימה, עובר לתאריך 3.11.2021, הוסלקו הסמים בבקבוקים הנחזים כמכילים מוצרי טיפוח, עליהם צורפה קבלה בה נקוב סכום של 57.55 אירו, והכל הוטמן באריזת קרטון עליה צוינו פרטי קולט והכתובת (להלן: ""החבילה"").",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"במועד שאינו ידוע למאשימה, שלח האחר שזהותו אינה ידועה למאשימה את החבילה מגרמניה אל ישראל, עבור הנאשם, באמצעות חברת משלוחים ועל החבילה צוינו פרטי הנמענת. החבילה הוטמנה בקרטון הממותג בשם חברת השליחויות.",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"בתאריך 3.11.2021, נתפסה החבילה במכס הגרמני וביום 11.11.2021 הובאה לישראל על ידי שוטר.",עובדות כתב האישום:,עובדות המקרה
ME-21-12-42162-424,"ביום 25.11.2021 הטמין השוטר בחבילה 1,446.85 גרם נטו מסך הסמים.",עובדות כתב האישום:,עובדות המקרה
