part_number,verdict,text,part,predicted_category
1,ME-12-09-28180-412,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973",nothing,מידע אחר
2,ME-12-09-28180-412,"הנאשם הורשע לאחר שמיעת ראיות בעבירה של החזקת סם שלא לצריכה עצמית וזוכה מעבירה של הסתייעות ברכב בביצוע פשע. מהכרעת הדין עולה כי הנאשם החזיק ארבעה שקים, אשר בתוכם סם מסוכן מסוג חשיש, המחולק לאריזות, במשקל כולל של 62.8 ק""ג שלא לצריכתו העצמית. עוד הוכח, כי הנאשם הטמין את השקים במסלעה הסמוכה לביתו, שם הם נמצאו לאחר חיפוש שנערך על ידי המשטרה.",נתוני רקע,עובדות המקרה
3,ME-12-09-28180-412,"בהכרעת הדין נקבע שיש להניח לטובת הנאשם, כי החזיק בסמים עבור אחרים ולמענם כמעין ""אפסנאי"", וחזקה כי הדבר נעשה בתמורה, אף כי אין לדעת בדיוק מה שוויה. כן נקבע, כי אין להרשיע את הנאשם בנסיבה מחמירה לפיה קיבל את הסמים  ""במספר הזדמנויות שונות"", כנטען בכתב האישום, היינו כי בוצעו מספר פעולות אסורות, ויש להניח לטובתו, מחמת הספק, כי מדובר בפעולה אחת.",נתוני רקע,עובדות המקרה
4,ME-12-09-28180-412,"שירות המבחן חיווה דעתו ביחס לנאשם. נכתב לגביו, כי הינו אדם נשוי ואב לילדה בת 3.5 שנים. נמסר כי הנאשם סיים 7 שנות לימוד בלבד במטרה לסייע בנטל פרנסת המשפחה. עד למעצרו הנוכחי עבד בעבודה מסודרת, בתחום התיירות.",נתוני רקע,תסקיר שירות מבחן
5,ME-12-09-28180-412,"עוד עולה מהתסקיר  כי המדובר בנאשם ללא עבר פלילי, אשר הודה בביצוע העבירה ונטל אחריות ראשונית למעשיו. לדבריו, הסכים להצעה לאחסן את הסמים בשל קשיים כלכליים עמם נאלץ להתמודד, ההצעה שקיבל והקושי שלו לסרב לאותה הצעה. הנאשם שב וציין בפני קצינת המבחן כי שגה בהתנהגותו ופעל באופן פסול. כן הדגיש את תחושות האשמה והבושה, כמו גם את המחיר הכבד שנאלץ לשלם בעקבות מעשיו.",נתוני רקע,תסקיר שירות מבחן
6,ME-12-09-28180-412,"שירות המבחן התרשם, כי עד למעצרו תפקד הנאשם באופן חיובי במישור התעסוקתי והמשפחתי. הרושם היה שההליך הפלילי מהווה שבר בחיי הנאשם, ויכול לשמש עבורו כגורם מרתיע. עם זאת צוין כי הנאשם ממוקד בתחושה של קורבנות בגין עצם העמדתו לדין. עוד צוין בתסקיר כי לנאשם נטייה לפעול מתוך דחפים רגעיים לצורך השגת רווח מהיר מבלי ליתן דעתו להבין את תוצאות המעשה והחוק. שירות המבחן גם התרשם כי הנאשם מתקשה לבחון את דפוסי ההתנהגות הבעייתיים שעמדו בבסיס העבירה.",נתוני רקע,תסקיר שירות מבחן
7,ME-12-09-28180-412,"בשל כל אלה, מעריך שירות המבחן שיש סיכון להתנהגות עבריינית חוזרת וממליץ לנקוט כלפי הנאשם בענישה מרתיעה בדמות מאסר בפועל ומאסר מותנה.",נתוני רקע,תסקיר שירות מבחן
8,ME-12-09-28180-412,"אביו של הנאשם הביע את כעסו כלפי מעשיו של הנאשם, וביקש את רחמי בית המשפט בגזירת העונש. האב הדגיש כי מעשיו של הנאשם חמורים, אך ציין כי הנאשם למד את הלקח. כמו כן, תיאר את הקושי של אשת הנאשם ובתו כתוצאה מהמעצר.",ראיות וטענות לעונש ,ראיות לעונש
9,ME-12-09-28180-412,"בטיעוניו לעונש, הדגיש התובע את חומרת העבירה שביצע הנאשם ועמד על ההשלכות הקשות הנובעות ממנה על שלום הציבור וביטחונו. כן הדגיש את כמות הסם העצומה שהנאשם החזיק, אשר בה פוטנציאל לגרימת נזק בהיקף רב, ומשכך מהווה היא נסיבה משמעותית לחומרה. התובע תיאר את תפקידו של הנאשם במערך הכולל של הפצת הסמים, הדגיש את התכנון בעצם הטמנתם ואת האחריות הנדרשת בשמירה עליהם.",ראיות וטענות לעונש ,טיעוני הצדדים
10,ME-12-09-28180-412,"התובע הפנה לפסיקה, אשר לטעמו יש בה כדי ללמד על מדיניות הענישה הנוהגת בעבירות מסוג זה. בסופו של דבר, טען כי מתחם הענישה ההולם את מעשיו של הנאשם הוא כזה הנע בין 6 ל-9 שנות מאסר בפועל. בתוך המתחם, התייחס התובע מחד גיסא לעובדה כי הנאשם נעדר עבר פלילי, ומאידך גיסא ציין את העובדה כי הנאשם הכחיש את המיוחס לו ובחר לנהל את המשפט. כן הפנה לעמדת שירות המבחן, לפיה הומלץ על הטלת עונש מאסר בפועל. בשל כל אלה, עתר כי עונשו של הנאשם ימוקם, אפוא, מחציו של מתחם הענישה ומטה, אם כי לא יגיע עד לרף התחתון שלו.",ראיות וטענות לעונש ,טיעוני הצדדים
11,ME-12-09-28180-412,"מנגד, טען הסניגור כי לנאשם זכות לקבל את יומו בבית המשפט וניהול משפטו הוליד בסופו של דבר זיכוי מעבירה של הסתייעות ברכב לביצוע פשע. כן הדגיש כי בית המשפט הכריע לטובת הנאשם בהתייחס למספר נסיבות עובדתיות והדבר ממעט מהחומרה שיוחסה למעשים בכתב האישום המתוקן. כך, בין היתר, ציין לקולה את העובדה שאין מדובר במספר הזדמנויות בהן פעל הנאשם בניגוד לחוק וכי הסמים בסופו של דבר אינם שייכים לנאשם עצמו.",ראיות וטענות לעונש ,טיעוני הצדדים
12,ME-12-09-28180-412,"הסניגור הטעים כי הנאשם לא היה הבעלים של הסם ואף לא שלט במערך הפצתו, אלא היווה אך כחוליה אחת בשרשרת הפצת הסם. בהתייחס לנסיבותיו האישיות ציין הסניגור את עברו הנקי של הנאשם, את ההודאה בפני שירות המבחן עם לקיחת האחריות, את תחושת השבר הקשה שמלווה אותו מאז האירוע כמפורט בתסקיר ואת תפקודו החיובי בבית הסוהר. כן הזכיר כי הנאשם שוהה במעצר תקופה ארוכה המתקרבת ל-20 חודשים, תקופה בה נותק ממשפחתו ומבתו הקטנה. בשל כל אלה, עתר לנהוג בו במידת הרחמים.",ראיות וטענות לעונש ,טיעוני הצדדים
13,ME-12-09-28180-412,זכות המילה האחרונה ניתנה לנאשם. הוא שב והביע חרטה וכאב על המחירים המשפחתיים שנאלץ לשלם כתוצאה מהאירוע. הוא תיאר את הקושי המלווה אותו והבטיח שלא לחזור שוב על מעשים אלה.,ראיות וטענות לעונש ,טיעוני הצדדים
14,ME-12-09-28180-412,"העבירה של החזקת סם שלא לצריכה עצמית בלבד היא עבירה חמורה שהעונש המקסימאלי בגינה הוא 20 שנות מאסר, וזאת לא בכדי, שהרי עבירה זו כרוכה בפגיעה בציבור רחב, במיוחד כאשר מדובר בכמות גדולה של סם כבמקרה שלפנינו.",קביעת המתחם ,דיון והכרעה
