verdict,עובדות המקרה,טיעוני הצדדים,דיון והכרעה
ME-08-1161-236,0,0,1
ME-09-02-5711-111,1,1,1
ME-09-1010-582,1,0,0
ME-09-657-44,1,1,1
ME-10-05-11982-523,0,0,1
ME-10-05-27955-22,1,0,1
ME-10-06-24817-914,0,0,0
ME-10-07-52268-847,1,1,1
ME-10-11-12302-130,0,0,0
ME-11-01-42326-791,0,0,0
ME-11-03-35646-783,0,1,1
ME-11-04-28317-687,1,1,1
ME-11-04-4986-44,0,0,0
ME-11-05-34337-22,1,1,1
ME-11-05-34398-44,1,1,1
ME-11-05-52251-253,0,0,0
ME-11-07-22343-883,1,1,1
ME-11-07-265-735,1,1,1
ME-11-08-31215-182,1,1,1
ME-11-11-3525-60,1,0,0
ME-11-11-48367-888,1,1,1
ME-11-12-30634-727,1,1,1
ME-11-12-36196-722,1,1,1
ME-11-12-5799-55,1,1,1
ME-11-12-6421-435,1,0,1
ME-12-01-11230-55,1,1,1
ME-12-01-24154-33,1,1,1
ME-12-01-38015-33,1,1,1
ME-12-01-54322-915,1,0,0
ME-12-02-25375-235,1,0,0
ME-12-03-15148-775,1,0,1
ME-12-03-35709-772,1,1,1
ME-12-04-11179-505,1,1,1
ME-12-04-14480-336,1,1,1
ME-12-04-30672-625,1,1,1
ME-12-04-33577-700,1,1,1
ME-12-05-11059-811,1,1,1
ME-12-05-14266-581,1,1,1
ME-12-05-20524-44,1,0,0
ME-12-05-33444-999,1,1,1
ME-12-05-34610-705,1,0,1
ME-12-05-39094-11,1,1,1
ME-12-05-60494-380,1,1,1
ME-12-05-8398-532,1,1,1
ME-12-06-35105-655,1,1,1
ME-12-06-35192-220,0,1,1
ME-12-06-44357-260,0,0,1
ME-12-06-52254-55,1,1,1
ME-12-06-53154-11,1,0,0
ME-12-07-18907-33,1,1,1
ME-12-07-42731-893,1,0,0
ME-12-07-42885-722,1,1,1
ME-12-07-46079-325,1,0,0
ME-12-07-54104-44,1,1,1
ME-12-07-8450-137,1,1,1
ME-12-08-13706-166,1,0,0
ME-12-08-8641-44,1,1,1
ME-12-09-21128-747,1,0,0
ME-12-09-30016-33,1,1,1
ME-12-09-31580-738,1,0,0
ME-12-09-40234-9,1,1,1
ME-12-09-40240-235,1,1,1
ME-12-09-51207-971,1,1,1
ME-12-10-12968-301,1,1,1
ME-12-10-16191-269,1,1,1
ME-12-10-31937-216,1,1,1
ME-12-11-15198-961,1,1,1
ME-12-11-1567-721,1,0,1
ME-12-11-182-509,1,1,1
ME-12-11-20623-55,1,1,1
ME-12-11-20778-308,0,1,1
ME-12-11-2582-956,0,1,1
ME-12-11-41805-267,1,1,1
ME-12-11-5948-739,1,0,0
ME-12-12-25581-44,0,1,1
ME-12-12-32740-218,1,1,1
ME-12-12-39974-33,1,0,1
ME-12-5000-859,1,1,1
ME-12-5007-715,1,1,1
ME-12-5013-39,1,1,1
ME-13-01-11953-852,0,1,1
ME-13-01-19697-926,1,1,1
ME-13-01-35259-271,0,0,0
ME-13-01-51122-11,1,1,1
ME-13-01-59967-314,1,1,1
ME-13-01-7860-696,1,1,1
ME-13-02-13481-395,0,0,0
ME-13-02-15741-44,1,1,1
ME-13-02-15771-905,1,1,1
ME-13-02-15791-898,1,1,1
ME-13-02-28360-614,1,0,0
ME-13-02-35702-146,1,1,1
ME-13-02-45550-468,1,1,1
ME-13-02-49989-350,1,0,1
ME-13-02-530-929,1,0,0
ME-13-02-55800-445,1,0,0
ME-13-03-17230-2,1,1,1
ME-13-03-19235-11,1,1,1
ME-13-03-33546-203,1,0,1
ME-13-03-39535-51,1,1,1
ME-13-03-45208-291,1,0,0
ME-13-03-49858-434,1,1,1
ME-13-03-8858-799,0,0,0
ME-13-04-12122-17,1,1,1
ME-13-04-1578-917,1,1,1
ME-13-04-29375-778,1,1,1
ME-13-04-31041-44,1,1,1
ME-13-04-35007-454,1,1,1
ME-13-04-4338-521,0,1,1
ME-13-04-47805-33,1,0,0
ME-13-05-27782-294,1,1,1
ME-13-05-31862-296,1,1,1
ME-13-05-37701-859,1,1,1
ME-13-05-44826-671,1,0,1
ME-13-06-15376-329,1,1,1
ME-13-06-18799-733,0,0,0
ME-13-06-24207-220,1,1,1
ME-13-06-33509-56,1,1,1
ME-13-06-44877-875,1,1,1
ME-13-06-9162-922,1,1,1
ME-13-07-11775-50,0,0,0
ME-13-07-13281-688,1,1,1
ME-13-07-26088-948,1,1,1
ME-13-07-26801-940,1,1,1
ME-13-07-34594-537,1,1,1
ME-13-07-40188-33,1,1,1
ME-13-07-51198-464,1,0,0
ME-13-07-54935-800,1,1,1
ME-13-08-18402-852,1,1,1
ME-13-08-23475-957,1,1,1
ME-13-08-23488-747,1,0,0
ME-13-08-26481-975,0,0,1
ME-13-08-30145-360,0,1,1
ME-13-08-35298-188,0,0,0
ME-13-09-11799-831,1,0,1
ME-13-09-1307-433,0,1,1
ME-13-09-13822-835,1,1,1
ME-13-09-13870-728,0,0,1
ME-13-09-26637-143,1,0,1
ME-13-09-355-426,1,1,1
ME-13-09-40272-806,1,1,1
ME-13-10-14308-198,1,1,1
ME-13-10-28139-807,1,0,1
ME-13-10-3622-529,1,1,1
ME-13-10-3670-163,1,1,1
ME-13-10-53169-537,0,0,0
ME-13-10-54150-22,1,1,1
ME-13-10-57914-857,1,1,1
ME-13-10-60307-141,0,0,1
ME-13-10-62790-124,1,1,1
ME-13-10-63535-22,1,1,1
ME-13-11-39183-8,1,1,1
ME-13-11-39234-971,1,1,1
ME-13-11-45971-432,1,1,1
ME-13-11-5388-53,1,1,1
ME-13-11-8725-513,1,1,1
ME-13-12-1390-955,1,0,0
ME-13-12-14513-696,1,1,1
ME-13-12-29671-109,1,1,1
ME-13-12-3531-392,1,1,1
ME-13-12-52815-924,1,0,0
ME-13-12-6192-588,0,1,1
ME-14-01-3006-904,1,1,1
ME-14-01-56064-431,1,1,1
ME-14-02-13-546,1,0,1
ME-14-02-14971-585,1,1,1
ME-14-02-23537-939,1,1,1
ME-14-02-26521-341,1,1,1
ME-14-02-2811-624,1,1,1
ME-14-02-3451-569,1,1,1
ME-14-02-51828-88,1,1,1
ME-14-02-55664-152,1,1,1
ME-14-02-56601-408,1,1,1
ME-14-02-8718-22,1,0,1
ME-14-03-17809-721,1,1,1
ME-14-03-17891-67,1,1,1
ME-14-03-20722-602,1,1,1
ME-14-03-23513-83,1,1,1
ME-14-03-30974-468,1,1,1
ME-14-03-48488-922,1,1,1
ME-14-03-6604-274,0,0,0
ME-14-04-12519-175,1,0,1
ME-14-04-40011-55,1,1,1
ME-14-05-10788-272,0,0,0
ME-14-05-1847-984,1,1,1
ME-14-05-40111-33,1,1,1
ME-14-05-7658-33,1,1,1
ME-14-06-19260-442,1,1,1
ME-14-06-20375-913,1,1,1
ME-14-06-31249-326,1,1,1
ME-14-06-34514-154,1,1,1
ME-14-06-43990-121,1,0,0
ME-14-06-553-154,0,1,1
ME-14-07-13179-197,1,1,1
ME-14-07-21297-506,0,0,0
ME-14-07-28889-461,1,1,1
ME-14-07-31467-694,1,1,1
ME-14-07-38225-313,0,1,1
ME-14-07-5795-799,1,1,1
ME-14-07-58351-969,0,0,1
ME-14-07-59422-24,1,1,0
ME-14-07-60820-441,1,1,1
ME-14-07-6089-605,1,1,1
ME-14-07-6136-478,0,1,1
ME-14-07-793-33,1,1,1
ME-14-07-866-49,1,1,1
ME-14-08-11826-333,1,1,1
ME-14-08-15105-656,1,1,1
ME-14-08-17474-17,1,1,1
ME-14-08-18965-640,1,1,1
ME-14-08-23796-55,1,1,1
ME-14-08-33458-807,1,1,1
ME-14-08-41271-51,1,1,1
ME-14-08-41294-699,1,1,1
ME-14-08-42679-93,1,1,1
ME-14-08-998-718,1,1,1
ME-14-09-36511-66,1,1,1
ME-14-09-41562-307,1,1,1
ME-14-09-51186-880,1,1,1
ME-14-09-54272-333,1,1,1
ME-14-10-16446-49,1,1,1
ME-14-10-16506-319,1,1,1
ME-14-10-18510-163,1,1,1
ME-14-10-31218-522,1,1,1
ME-14-10-41611-742,1,0,0
ME-14-10-51094-951,1,1,1
ME-14-11-12154-982,1,1,1
ME-14-11-21296-821,1,1,1
ME-14-11-37083-206,1,1,1
ME-14-11-43709-307,1,1,0
ME-14-11-45597-917,1,1,1
ME-14-11-58148-744,1,0,1
ME-14-11-60637-954,1,1,1
ME-14-11-7498-539,1,1,1
ME-14-11-9693-472,1,1,1
ME-14-12-12154-562,1,0,1
ME-14-12-23786-458,1,0,0
ME-14-12-56232-33,1,0,0
ME-14-12-6904-57,1,0,1
ME-14-12-8888-44,1,0,0
ME-15-01-16193-472,0,1,1
ME-15-01-17919-189,1,1,1
ME-15-01-18013-927,1,1,1
ME-15-01-27277-623,1,1,1
ME-15-01-33508-80,1,1,1
ME-15-01-34344-500,1,1,1
ME-15-01-3728-385,1,1,1
ME-15-01-39731-957,1,1,1
ME-15-01-47686-910,0,0,0
ME-15-01-56149-930,1,1,1
ME-15-01-64832-653,0,1,1
ME-15-01-7317-22,1,1,1
ME-15-02-13142-307,0,1,1
ME-15-02-24181-673,1,1,1
ME-15-02-28662-163,1,1,1
ME-15-02-35815-840,1,0,0
ME-15-02-42458-402,1,0,0
ME-15-02-51145-367,1,1,1
ME-15-02-52000-415,0,1,1
ME-15-02-52009-890,1,1,1
ME-15-02-52101-685,1,1,1
ME-15-02-9111-399,1,0,0
ME-15-03-21009-467,1,1,1
ME-15-03-29243-973,1,1,1
ME-15-03-29911-554,1,1,1
ME-15-03-57965-135,1,1,1
ME-15-04-13785-202,0,1,1
ME-15-04-24163-248,1,1,1
ME-15-04-38135-947,1,1,1
ME-15-04-46577-963,0,1,1
ME-15-04-53797-462,1,0,0
ME-15-04-8290-415,1,1,1
ME-15-05-1094-512,1,1,1
ME-15-05-1647-648,1,1,1
ME-15-05-27135-334,1,0,0
ME-15-05-29649-218,0,0,0
ME-15-05-29738-201,1,1,1
