verdict,text,part,mapped_category
ME-16-12-26620-433,"ת""פ 26620-12-16 מדינת ישראל נ' עמיאל ואח'",בית המשפט המחוזי בירושלים,מידע אחר
ME-16-12-26620-433,"פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7(ג), 13, 19א",בית המשפט המחוזי בירושלים,מידע אחר
ME-16-12-26620-433,"חוק העונשין, תשל""ז-1977: סע'  40ג(א), 40ד(א), 40ד(ב), 40ט(6), (9), 40ט(א)(1), 40ט(א)(2), 40ט(א)(3), 40ט(א)(4), 40ט(א)(5), 40י(א), 40י(ב)(2)",בית המשפט המחוזי בירושלים,מידע אחר
ME-16-12-26620-433,"הנאשם 2 (להלן גם: הנאשם) הועמד לדין ביחד עם נאשם 1 במסגרת אותו כתב-אישום. בסופו של הליך גישור שהתקיים לפני כב' השופטת לומפ, באו הצדדים להסדר טיעון בעקבותיו תוקנו עובדות כתב-האישום. בהמשך לכך, שני הנאשמים הורשעו לפי הודאתם בעבירה של יבוא סם מסוכן לפי סעיף 13 בצירוף סעיף 19א לפקודת הסמים המסוכנים [נוסח חדש], התשל""ג-1973 (להלן: פקודת הסמים או הפקודה). (הנאשם 1 בלבד הורשע לפי הודאתו גם בעבירה של החזקת סם לשימוש עצמי לפי סעיף 7(ג) סיפא לפקודה).",רקע,עובדות המקרה
ME-16-12-26620-433,"בהתאם לעובדות כתב-האישום המתוקן בהן הודו שני הנאשמים, בשבועות שקדמו ליום 2.12.2016, אדם אחר שזהותו אינה ידועה למאשימה הציע לנאשמים לייבא סם מסוכן לישראל בתמורה לרווח כספי. בהמשך, מספר ימים לפני יום 2.12.2016, קשרו ביניהם שני הנאשמים קשר להבאת סם מסוכן מוינה לארץ. הנאשם שלפניי אמר לנאשם 1 כי האחרון יוכל לקבל תמורת הבאת הסם סכום של 54,000 ₪, בעוד הנאשם שלפניי יקבל סכום של 10,000 ₪ עד 25,000 ₪. הנאשם 1 רכש עבורו ועבור הנאשם שלפניי כרטיס טיסה לוינה ליום 2.12.2016, כאשר התשלום בוצע באמצעות כרטיס האשראי של הנאשם 1.",רקע,עובדות המקרה
ME-16-12-26620-433,"ביום 2.12.2016 הגיעו שני הנאשמים לוינה. כעבור יומיים, ביום 4.12.2016, הגיע למלון בו שהו שני הנאשמים בוינה, אדם אחר שזהותו אינה ידועה למאשימה. אותו אחר הביא עמו מזוודה (להלן: המזוודה), בה הוטמנו סמים מסוכנים שהיו מחולקים לארבע חבילות: חבילה אחת שבה כ- 888 גרם קוקאין, וכן שלוש חבילות שבהן MDMA במשקלים של כ- 977 גרם, כ- 415 גרם, וכ- 428 גרם. חבילות הסם הוסתרו בדופן המזוודה. המזוודה נמסרה לידי הנאשמים בחדרם במלון. מוסכם כי הנאשמים ידעו שהמזוודה מכילה סמים מסוכנים המוגדרים כ""קשים"", אך לא ידעו מהי כמות הסם ומהו סוגו. נאשם 1 העביר את חפציו למזוודה האמורה, ונשא אותה עמו מאוסטריה לישראל. ביום 5.12.2016 נעצרו שני הנאשמים עם המזוודה בשדה התעופה בישראל.",רקע,עובדות המקרה
ME-16-12-26620-433,"הסדר-טיעון אליו באו הצדדים לא כלל הסכמה לעניין העונש, וכל צד נותר חופשי בטיעוניו לאחר קבלת תסקירי שירות מבחן.",רקע,עובדות המקרה
ME-16-12-26620-433,"בדיון שהתקיים לפניי ביום 13.1.2019 נעניתי לבקשת ב""כ הנאשם 1 והוריתי על קבלת תסקיר משלים בעניין מרשו. אשר לנאשם שלפניי – בהתאם לבקשת ב""כ הצדדים, נשמעו הראיות והטיעונים לעונש בעניינו. לפיכך, גזר-הדין מתייחס לנאשם זה בלבד.",רקע,תסקיר שירות מבחן
ME-16-12-26620-433,"מהתסקיר מיום 28.10.2018 עולה כי הנאשם הנו בן 27, רווק, שירת שירות צבאי מלא בתפקידי לחימה בחטיבת ""גבעתי"", ולחם במבצע ""עמוד ענן"" ובמבצע ""צוק איתן"" במסגרת שירות מילואים. כיום הנאשם עובד כנהג. התסקיר מפרט משברים שהנאשם חווה בשנות ילדותו על רקע מצבה הרפואי של אמו ומצבו של אביו (אינני רואה לפרט מעבר לכך משיקולי צנעת הפרט של ההורים).",תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-12-26620-433,"באשר לשימוש בסמים, הנאשם תיאר לשירות מבחן כי עשה שימוש מזדמן בסמים החל מגיל 21, לרוב בנסיבות חברתיות, וזאת כדרך להתמודד עם התחושות הקשות סביב המורכבות במצב המשפחתי, וכן סביב החוויות הקשות והטראומטיות מהשירות הצבאי.",תסקיר שירות מבחן,תסקיר שירות מבחן
