verdict,text,part,mapped_category
SH-14-02-28659-762,"חוק העונשין, תשל""ז-1977: סע'  40ד, 40ט, 144(א), 40יא, 40יג",nothing,מידע אחר
SH-14-02-28659-762,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק לפי סעיף 144(א) לחוק העונשין התשל""ז-1977, בכך שבמשך כשנתיים עובר ליום 11.2.14, החזיק הנאשם שבביתו שבעזריה נשק מאולתר מסוג ""קרל גוסטב"". הנאשם הסתיר את הנשק בעליית הגג של המקלחת בביתו וטען כי החזיקו לצורך הגנה עצמית.",רקע,עובדות המקרה
SH-14-02-28659-762,"ב""כ הנאשם ביקש לטעון לעונש לאחר קבלת תסקיר בעניינו של הנאשם, למרות שהנאשם שהה במעצר בית מלא, וב""כ המאשימה לא התנגדה לכך, אולם הדגישה כי עמדתה למאסר.",רקע,טיעוני הצדדים
SH-14-02-28659-762,"מתסקיר שירות המבחן עולה כי הנאשם בן 35, נשוי ואב לשלושה ילדים בני שנתיים ועד שמונה שנים, סובל ממחלה כרונית הגורמת לדלקות מפרקים או דלקות בכליות. הנאשם סיים 12 שנות לימוד במגמה מקצועית והוא בעל תעודת בגרות מלאה. בהמשך עבד הנאשם בתיקון מכשירי איתור ומיגון לרכב בחברות שונות, ומזה כשמונה שנים הוא עובד בתחום המסחר הכללי, בעיקר בסחר בחומרי ניקיון. הנאשם תיאר בפני קצינת המבחן את מצבו הכלכלי כבינוני ומסר כי מעצרו פגע באופן קשה בעסקיו, שכן הדבר גרם לפגיעה בתדמיתו מול הסוחרים האחרים והוא שקע בחובות. במקביל לעבודתו שירת הנאשם כסמל ראשון במנגנון הביטחון הפלסטיני.",תסקיר שירות מבחן,תסקיר שירות מבחן
SH-14-02-28659-762,"עוד עולה מהתסקיר כי אביו של הנאשם לוקה בכליותיו, אמו עקרת בית הסובלת מבעיות בבלוטת התריס ומשפחת המוצא ניהלה אורח חיים נורמטיבי. קצינת המבחן התרשמה כי לנאשם קשר תלותי עם הוריו, הוא דואג לפרנסתם והם מתגוררים בביתו בשל מצבם הבריאותי.",תסקיר שירות מבחן,תסקיר שירות מבחן
SH-14-02-28659-762,קצינת המבחן מסרה כי מרישומו הפלילי של הנאשם עולה כי לנאשם הרשעה קודמת מלפני כשלוש שנים הקשורה בעבירות כלפי שוטר שבגינם נדון לעונש של מאסר מותנה וקנס.,תסקיר שירות מבחן,ראיות לעונש
SH-14-02-28659-762,"ביחס לביצוע העבירה מסרה קצינת המבחן כי הנאשם לקח אחריות חלקית לביצועה, שכן הנאשם מסר לה כי הנשק שנתפס הופקד בידיו על ידי מפקדיו כחלק מתפקידו במנגנון הביטחון המסכל, אולם קצינת המבחן הדגישה כי דבריו של הנאשם אינם עולים בקנה אחד עם האישור שמסר, ממנו עולה כי הנשק שהופקד בידיו הוא מסוג ברטה. עוד מסר הנאשם לקצינת המבחן כי מאחר שהוא עבד במנגנון הביטחון המסכל הנתפס ברחוב הפלסטיני כידו הארוכה של השב""כ הוא חשש לשלומו ולשלום בני ביתו והוא חש צורך בהחזקת הנשק להגנה עצמית. הנאשם הוסיף כי שיתף פעולה באופן מלא עם השוטרים, חסך מהם את החיפוש ומיוזמתו מסר להם את הנשק. אשר למקום מציאת הנשק, טען הנאשם כי הסתירו בעליית הגג מחשש שיגיע לילדיו הקטינים.",תסקיר שירות מבחן,תסקיר שירות מבחן
SH-14-02-28659-762,"קצינת המבחן העריכה כי הרקע לביצוע העבירה הוא הצורך של הנאשם להגן עליו ועל בני משפחתו על רקע עבודתו במנגנון הביטחון הפלסטיני. גם אם נהג באופן לא נורמטיבי ולא חוקי שיש בו טשטוש גבולות בין המותר לאסור. קצינת המבחן התרשמה כי הנאשם מניפולטיבי, נוטה לטשטש ולגמד את בעיותיו. ניכרים באישיותו קווים ילדותיים ולא בשלים ויש לו קושי בהצבת גבולות ברורים בין המותר לאסור. לצד זאת התרשמה קצינת המבחן כי לנאשם יכולות תפקוד טובים, הוא מנהל בדרך כלל אורח חיים תקין ונורמטיבי, עובד לפרנסת משפחתו והפסיק בעקבות מעצרו לעבוד במנגנון הביטחון הפלסטיני ולכן גורמים אלה מהווים גורמי סיכוי לשיקום ולהימנעותו מהתנהגות עבריינית בהמשך.",תסקיר שירות מבחן,תסקיר שירות מבחן
SH-14-02-28659-762,קצינת המבחן המליצה להתחשב בתקופת המעצר ומעצר הבית בה שהה הנאשם ולהתחשב בכך שההליכים הפליליים חידדו לו את גבולות המותר והאסור והמליצה כי בית המשפט יטיל על הנאשם מאסר אשר ירוצה בעבודות שירות לצד מאסר על תנאי משמעותי.,תסקיר שירות מבחן,תסקיר שירות מבחן
SH-14-02-28659-762,"ב""כ המאשימה טענה כי הערך המוגן בבסיס עבירת החזקת הנשק הוא הגנה על שלום הציבור וביטחונו, שכן לא ניתן לצפות לאן הנשק יתגלגל ואיזה שימוש ייעשה בו. יש להתחשב בסוג הנשק כאשר מדובר במקלע מאולתר בכך שהוחזק במשך תקופה ארוכה, כאשר לצדו היו מחסנית וכדורים תואמים, והנאשם אף ציין כי החזיק את הנשק לצורך הגנה עצמית, כל אלה יש בהם כדי להגדיל את פוטנציאל השימוש בנשק. ב""כ המאשימה הדגישה כי בית המשפט העליון מסר שוב ושוב כי בעבירה מסוג זה יש להטיל עונש של מאסר, גם אם לא היה בכוונת המחזיק לבצע פשע, וגם כאשר מדובר במעידה ראשונה של הנאשם.","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"אשר לנסיבות שהובילו לביצוע העבירה, קרי עבודתו של הנאשם בביטחון המסכל של הרש""פ, טענה ב""כ המאשימה כי מדובר בנסיבה לחומרה ולא לקולא שכן עצם חברות במנגנון מסוג זה, היא עבירה בפני עצמה. כמו כן הדגישה ב""כ המאשימה כי טענותיו של הנאשם להחזקת הנשק לא עולים בקנה אחד עם האמור באישור שקיבל ממנגנון הביטחון המסכל באשר לסוג הנשק. ב""כ המאשימה עתרה למתחם של בין 12 חודשי מאסר ועד ל-30 חודשי מאסר.","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"ביחס לעונש המתאים, סברה ב""כ המאשימה כי על בית המשפט לגזור על הנאשם עונש מאסר בחציו העליון של המתחם וזאת בהתחשב מחד בחומרת העבירה ובצורך להרתיע את הרבים ואת הנאשם ומנגד בהתחשב בכך שהנאשם הודה בהזדמנות ראשונה ובהמלצת שירות המבחן.","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"ב""כ הנאשם טען כי הנשק לא נתפס בשטח ישראל אלא בביתו של  הנאשם, בעזריה, מדובר בנשק מאולתר ומכאן נובעת טעות לגבי סוג הנשק. מטרת ההחזקה היתה להגנה עצמית מחשש לשלומו ולשלום בני משפחתו וכי הנאשם לא הכניס את הנשק לתחומי ירושלים ולא הוגש נגדו כתב אישום על כך שהיה חבר בביטחון המסכל ומדובר בגוף שעובד בשיתוף פעולה בטחוני עם השב""כ והרשויות. לדבריו מיד כאשר נודע לנאשם שאסור לו להיות חבר בביטחון המסכל, הוא הפסיק לעבוד שם. לדידו של ב""כ הנאשם מדובר בנסיבות ברף התחתון של עבירת החזקת הנשק והגיש לתמיכה בטענותיו אישור בדבר עבודתו של הנאשם בביטחון המסכל ובאישור נרשם כי הנשק הועבר לנאשם בתוקף עבודתו וכי הנשק שייך לרש""פ. (ראה נ/1).","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"ב""כ הנאשם ביקש לאמץ את המלצת שירות המבחן, וטען כי המתחם אשר טענה לו ב""כ המאשימה אינו מתאים לפסיקה הנוהגת ואף הגיש לתמיכה בטענותיו שני גזרי דין בהם הוטלו עונשים של שירות לתועלת הציבור ועבודות שירות. ב""כ הנאשם ביקש להתחשב בהודאתו המיידית של הנאשם עוד בשלב החקירה ובהזדמנות ראשונה בבית המשפט. ציין את נסיבותיו הלא פשוטות של הנאשם שהוא חולה בעצמו ואף מפרנס את הוריו החולים ואת אשתו וילדיו. ב""כ הנאשם ביקש להתחשב בתקופת המעצר והתנאים המגבילים בהם שהה הנאשם, שהובילו למצבו הכלכלי הקשה. נוכח כל אלה ביקש ב""כ הנאשם מבית המשפט להסתפק בענישה מותנית ולחילופין אם בית המשפט יסבור שיש להטיל עונש של מאסר, הרי שהוא יהיה לתקופה קצרה וירוצה בעבודות שירות.","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"הנאשם בדברו האחרון מסר כי לא ידע שהחזקת הנשק אסורה, מסר כי הוא המפרנס היחיד של הוריו, אשתו ושלושת ילדיו. ביקש מבית המשפט לנקוט במידת הרחמים והדגיש כי הוא עשה טעות חד פעמית שלא יחזור עליה.","טענות ב""כ הצדדים",טיעוני הצדדים
SH-14-02-28659-762,"הנאשם יליד 78. צבר לחובתו הרשעה קודמת אחת משנת 2003 בשלוש עבירות של היזק בזדון, הכשלת שוטר והעלבת עובד ציבור שבגינן נדון הנאשם לעונש של מאסר על תנאי וקנס.",עברו הפלילי של הנאשם,ראיות לעונש
SH-14-02-28659-762,"קביעת מתחם העונש ההולם למעשה העבירה נעשית בהתאם לעקרון ההלימה. לשם קביעת מתחם העונש ההולם יש להתחשב בערך החברתי שנפגע, במידת הפגיעה בו, במדיניות הענישה הנוהגת ובנסיבות הקשורות בביצוע העבירה.",מתחם העונש ההולם,דיון והכרעה
SH-14-02-28659-762,"במקרה דנן, הערך החברתי המוגן הוא הגנה על שלמות גופו של אדם, שכן פוטנציאל הנזק הטמון בשימוש בכלי נשק חם הוא רב. יפים לעניין זה דבריו של כב' השופט ג'ובראן ברע""פ 5921/08 רג'בי נ' מדינת ישראל (ניתן 25.03.09):",מתחם העונש ההולם,דיון והכרעה
